Hz,real,imaginary,unitless (peak only)
9.999990,2.655631E+0,5.423970E+0,6.039191E+0
10.057721,5.280114E+0,3.806489E+0,6.509145E+0
10.115785,6.953010E+0,9.355489E-1,7.015668E+0
10.174184,7.084517E+0,-2.643388E+0,7.561606E+0
10.232920,5.391150E+0,-6.112157E+0,8.150028E+0
10.291995,4.132762E+0,-3.617151E+0,5.492131E+0
10.351412,3.075471E+0,-2.058908E+0,3.701030E+0
10.411171,2.233793E+0,-1.109249E+0,2.494046E+0
10.471275,1.588976E+0,-5.475959E-1,1.680686E+0
10.531727,2.258299E+0,-4.863243E-1,2.310070E+0
10.592527,3.161621E+0,-2.927936E-1,3.175150E+0
10.653678,4.362542E+0,1.196502E-1,4.364182E+0
10.715183,5.933629E+0,8.797027E-1,5.998486E+0
10.777042,3.255455E+0,2.171268E+0,3.913105E+0
10.839258,1.315867E+0,2.187423E+0,2.552709E+0
10.901834,1.671484E-1,1.656847E+0,1.665257E+0
10.964771,-3.627662E-1,1.023967E+0,1.086328E+0
11.028071,-1.351920E-1,1.234592E+0,1.241972E+0
11.091737,1.732802E-1,1.409302E+0,1.419915E+0
11.155770,5.623587E-1,1.522835E+0,1.623353E+0
11.220173,1.025093E+0,1.547157E+0,1.855939E+0
11.284948,1.445619E+0,1.126819E+0,1.832904E+0
11.350097,1.707400E+0,6.012016E-1,1.810154E+0
11.415622,1.787485E+0,2.684675E-2,1.787687E+0
11.481525,1.682136E+0,-5.360939E-1,1.765497E+0
11.547808,2.276634E+0,9.641534E-1,2.472378E+0
11.614474,1.540415E+0,3.100734E+0,3.462287E+0
11.681525,-1.190356E+0,4.700149E+0,4.848541E+0
11.748964,-5.551106E+0,3.909867E+0,6.789833E+0
11.816791,-2.437244E+0,5.513097E+0,6.027802E+0
11.885010,6.653820E-1,5.309766E+0,5.351294E+0
11.953623,2.933624E+0,3.736723E+0,4.750710E+0
12.022632,3.940741E+0,1.502717E+0,4.217535E+0
12.092039,2.097605E+0,3.918710E+0,4.444799E+0
12.161847,-1.038459E+0,4.567752E+0,4.684309E+0
12.232059,-3.982508E+0,2.917346E+0,4.936727E+0
12.302675,-5.184926E+0,-4.302102E-1,5.202743E+0
12.373699,-2.322144E+0,-2.570605E+0,3.464154E+0
12.445133,4.311117E-2,-2.306143E+0,2.306546E+0
12.516980,1.071357E+0,-1.100360E+0,1.535773E+0
12.589241,1.021516E+0,-4.640961E-2,1.022570E+0
12.661919,1.011709E+0,-4.525837E-2,1.012721E+0
12.735017,1.001996E+0,-4.412498E-2,1.002967E+0
12.808537,9.923755E-1,-4.300918E-2,9.933071E-1
12.882482,9.828471E-1,-4.191079E-2,9.837403E-1
12.956853,9.837750E-1,-4.512017E-2,9.848092E-1
13.031654,9.846934E-1,-4.833604E-2,9.858790E-1
13.106887,9.856025E-1,-5.155831E-2,9.869501E-1
13.182553,9.865015E-1,-5.478697E-2,9.880217E-1
13.258657,9.901753E-1,-4.604209E-2,9.912452E-1
13.335200,9.937816E-1,-3.723585E-2,9.944789E-1
13.412185,9.973198E-1,-2.836860E-2,9.977232E-1
13.489614,1.000790E+0,-1.944083E-2,1.000979E+0
13.567491,1.000711E+0,-1.881771E-2,1.000888E+0
13.645817,1.000632E+0,-1.819470E-2,1.000797E+0
13.724595,1.000553E+0,-1.757179E-2,1.000707E+0
13.803828,1.000474E+0,-1.694899E-2,1.000618E+0
13.883518,9.977554E-1,-1.959176E-2,9.979477E-1
13.963668,9.950372E-1,-2.222015E-2,9.952853E-1
14.044282,9.923194E-1,-2.483423E-2,9.926301E-1
14.125360,9.896024E-1,-2.743403E-2,9.899826E-1
14.206907,9.925915E-1,-2.288121E-2,9.928552E-1
14.288924,9.955679E-1,-1.830123E-2,9.957361E-1
14.371415,9.985314E-1,-1.369408E-2,9.986253E-1
14.454382,1.001482E+0,-9.059733E-3,1.001523E+0
14.537828,1.004614E+0,-9.983113E-3,1.004664E+0
14.621756,1.007756E+0,-1.091219E-2,1.007815E+0
14.706168,1.010907E+0,-1.184699E-2,1.010976E+0
14.791067,1.014068E+0,-1.278755E-2,1.014149E+0
14.876457,1.017704E+0,-1.500311E-2,1.017815E+0
14.962340,1.021349E+0,-1.723447E-2,1.021494E+0
15.048718,1.025002E+0,-1.948168E-2,1.025187E+0
