Hz,real,imaginary,V^2 (rms)
9.999990,4.681364E-7,4.681364E-7,6.620448E-7
10.057721,4.776848E-7,4.776848E-7,6.755483E-7
10.115785,4.874280E-7,4.874280E-7,6.893273E-7
10.174184,4.973699E-7,4.973699E-7,7.033873E-7
10.232920,5.075145E-7,5.075145E-7,7.177339E-7
10.291995,5.368508E-7,5.368508E-7,7.592217E-7
10.351412,5.678829E-7,5.678829E-7,8.031077E-7
10.411171,6.007087E-7,6.007087E-7,8.495304E-7
10.471275,6.354319E-7,6.354319E-7,8.986364E-7
10.531727,6.487581E-7,6.487581E-7,9.174825E-7
10.592527,6.623640E-7,6.623640E-7,9.367242E-7
10.653678,6.762550E-7,6.762550E-7,9.563690E-7
10.715183,6.904378E-7,6.904378E-7,9.764265E-7
10.777042,6.965397E-7,6.965397E-7,9.850559E-7
10.839258,7.026955E-7,7.026955E-7,9.937615E-7
10.901834,7.089058E-7,7.089058E-7,1.002544E-6
10.964771,7.151706E-7,7.151706E-7,1.011404E-6
11.028071,7.307740E-7,7.307740E-7,1.033471E-6
11.091737,7.467178E-7,7.467178E-7,1.056018E-6
11.155770,7.630094E-7,7.630094E-7,1.079058E-6
11.220173,7.796561E-7,7.796561E-7,1.102600E-6
11.284948,8.448849E-7,8.448849E-7,1.194848E-6
11.350097,9.155709E-7,9.155709E-7,1.294813E-6
11.415622,9.921707E-7,9.921707E-7,1.403141E-6
11.481525,1.075179E-6,1.075179E-6,1.520533E-6
11.547808,1.117749E-6,1.117749E-6,1.580736E-6
11.614474,1.162003E-6,1.162003E-6,1.643320E-6
11.681525,1.208009E-6,1.208009E-6,1.708383E-6
11.748964,1.255838E-6,1.255838E-6,1.776023E-6
11.816791,1.281779E-6,1.281779E-6,1.812709E-6
11.885010,1.308255E-6,1.308255E-6,1.850152E-6
11.953623,1.335279E-6,1.335279E-6,1.888370E-6
12.022632,1.362861E-6,1.362861E-6,1.927377E-6
12.092039,1.392605E-6,1.392605E-6,1.969441E-6
12.161847,1.422998E-6,1.422998E-6,2.012423E-6
12.232059,1.454054E-6,1.454054E-6,2.056343E-6
12.302675,1.485788E-6,1.485788E-6,2.101222E-6
12.373699,1.550795E-6,1.550795E-6,2.193155E-6
12.445133,1.618647E-6,1.618647E-6,2.289113E-6
12.516980,1.689467E-6,1.689467E-6,2.389267E-6
12.589241,1.763386E-6,1.763386E-6,2.493804E-6
12.661919,1.856011E-6,1.856011E-6,2.624796E-6
12.735017,1.953501E-6,1.953501E-6,2.762668E-6
12.808537,2.056112E-6,2.056112E-6,2.907781E-6
12.882482,2.164114E-6,2.164114E-6,3.060519E-6
12.956853,2.222437E-6,2.222437E-6,3.143001E-6
13.031654,2.282333E-6,2.282333E-6,3.227706E-6
13.106887,2.343842E-6,2.343842E-6,3.314693E-6
13.182553,2.407010E-6,2.407010E-6,3.404026E-6
13.258657,2.532062E-6,2.532062E-6,3.580876E-6
13.335200,2.663612E-6,2.663612E-6,3.766916E-6
13.412185,2.801996E-6,2.801996E-6,3.962621E-6
13.489614,2.947570E-6,2.947570E-6,4.168493E-6
13.567491,3.094664E-6,3.094664E-6,4.376516E-6
13.645817,3.249099E-6,3.249099E-6,4.594920E-6
13.724595,3.411241E-6,3.411241E-6,4.824223E-6
13.803828,3.581476E-6,3.581476E-6,5.064972E-6
13.883518,3.632498E-6,3.632498E-6,5.137128E-6
13.963668,3.684248E-6,3.684248E-6,5.210313E-6
14.044282,3.736734E-6,3.736734E-6,5.284540E-6
14.125360,3.789969E-6,3.789969E-6,5.359826E-6
14.206907,3.978450E-6,3.978450E-6,5.626378E-6
14.288924,4.176305E-6,4.176305E-6,5.906187E-6
14.371415,4.384000E-6,4.384000E-6,6.199912E-6
14.454382,4.602025E-6,4.602025E-6,6.508246E-6
14.537828,4.923622E-6,4.923622E-6,6.963053E-6
14.621756,5.267693E-6,5.267693E-6,7.449643E-6
14.706168,5.635809E-6,5.635809E-6,7.970238E-6
14.791067,6.029650E-6,6.029650E-6,8.527213E-6
14.876457,6.296786E-6,6.296786E-6,8.905000E-6
14.962340,6.575756E-6,6.575756E-6,9.299523E-6
15.048718,6.867086E-6,6.867086E-6,9.711526E-6
15.135596,7.171325E-6,7.171325E-6,1.014179E-5
15.222974,7.597020E-6,7.597020E-6,1.074381E-5
15.310857,8.047984E-6,8.047984E-6,1.138157E-5
15.399248,8.525718E-6,8.525718E-6,1.205719E-5
15.488149,9.031813E-6,9.031813E-6,1.277291E-5
15.577563,9.487094E-6,9.487094E-6,1.341678E-5
15.667493,9.965324E-6,9.965324E-6,1.409310E-5
15.757942,1.046766E-5,1.046766E-5,1.480351E-5
15.848914,1.099533E-5,1.099533E-5,1.554974E-5
15.940411,1.181087E-5,1.181087E-5,1.670309E-5
16.032436,1.268691E-5,1.268691E-5,1.794200E-5
16.124992,1.362793E-5,1.362793E-5,1.927280E-5
16.218082,1.463875E-5,1.463875E-5,2.070232E-5
16.311710,1.548246E-5,1.548246E-5,2.189550E-5
16.405879,1.637480E-5,1.637480E-5,2.315746E-5
16.500591,1.731857E-5,1.731857E-5,2.449216E-5
16.595850,1.831674E-5,1.831674E-5,2.590378E-5
16.691659,1.954011E-5,1.954011E-5,2.763389E-5
16.788021,2.084519E-5,2.084519E-5,2.947955E-5
16.884939,2.223744E-5,2.223744E-5,3.144849E-5
16.982417,2.372267E-5,2.372267E-5,3.354892E-5
17.080457,2.537135E-5,2.537135E-5,3.588051E-5
17.179064,2.713462E-5,2.713462E-5,3.837415E-5
17.278240,2.902043E-5,2.902043E-5,4.104109E-5
17.377988,3.103729E-5,3.103729E-5,4.389336E-5
17.478312,3.286593E-5,3.286593E-5,4.647944E-5
17.579215,3.480231E-5,3.480231E-5,4.921790E-5
17.680701,3.685278E-5,3.685278E-5,5.211770E-5
17.782773,3.902404E-5,3.902404E-5,5.518833E-5
17.885434,4.264496E-5,4.264496E-5,6.030908E-5
17.988688,4.660186E-5,4.660186E-5,6.590498E-5
18.092538,5.092591E-5,5.092591E-5,7.202011E-5
18.196987,5.565117E-5,5.565117E-5,7.870264E-5
18.302039,5.819042E-5,5.819042E-5,8.229368E-5
18.407698,6.084554E-5,6.084554E-5,8.604859E-5
18.513967,6.362180E-5,6.362180E-5,8.997481E-5
18.620849,6.652476E-5,6.652476E-5,9.408022E-5
18.728348,7.162428E-5,7.162428E-5,1.012920E-4
18.836468,7.711470E-5,7.711470E-5,1.090567E-4
18.945212,8.302600E-5,8.302600E-5,1.174165E-4
19.054584,8.939042E-5,8.939042E-5,1.264171E-4
19.164587,9.234437E-5,9.234437E-5,1.305947E-4
19.275226,9.539594E-5,9.539594E-5,1.349102E-4
19.386503,9.854835E-5,9.854835E-5,1.393684E-4
19.498422,1.018049E-4,1.018049E-4,1.439739E-4
19.610988,1.017745E-4,1.017745E-4,1.439309E-4
19.724203,1.017440E-4,1.017440E-4,1.438877E-4
19.838072,1.017136E-4,1.017136E-4,1.438448E-4
19.952599,1.016832E-4,1.016832E-4,1.438018E-4
20.067786,1.028975E-4,1.028975E-4,1.455190E-4
20.183639,1.041264E-4,1.041264E-4,1.472570E-4
20.300160,1.053698E-4,1.053698E-4,1.490154E-4
20.417354,1.066282E-4,1.066282E-4,1.507950E-4
20.535225,1.046048E-4,1.046048E-4,1.479335E-4
20.653776,1.026198E-4,1.026198E-4,1.451263E-4
20.773011,1.006725E-4,1.006725E-4,1.423724E-4
20.892935,9.876217E-5,9.876217E-5,1.396708E-4
21.013551,9.753120E-5,9.753120E-5,1.379299E-4
21.134864,9.631556E-5,9.631556E-5,1.362108E-4
21.256877,9.511508E-5,9.511508E-5,1.345130E-4
21.379594,9.392954E-5,9.392954E-5,1.328364E-4
21.503020,9.022065E-5,9.022065E-5,1.275913E-4
21.627158,8.665821E-5,8.665821E-5,1.225532E-4
21.752013,8.323643E-5,8.323643E-5,1.177141E-4
21.877589,7.994976E-5,7.994976E-5,1.130660E-4
22.003889,7.820494E-5,7.820494E-5,1.105985E-4
22.130919,7.649820E-5,7.649820E-5,1.081848E-4
22.258682,7.482870E-5,7.482870E-5,1.058238E-4
22.387183,7.319562E-5,7.319562E-5,1.035142E-4
