Hz,real,imaginary,V^2 (rms)
9.999990,1.555503E-8,1.555503E-8,2.199813E-8
10.057721,1.720248E-8,1.720248E-8,2.432798E-8
10.115785,1.902442E-8,1.902442E-8,2.690459E-8
10.174184,2.103932E-8,2.103932E-8,2.975409E-8
10.232920,2.326763E-8,2.326763E-8,3.290540E-8
10.291995,2.237877E-8,2.237877E-8,3.164836E-8
10.351412,2.152387E-8,2.152387E-8,3.043935E-8
10.411171,2.070163E-8,2.070163E-8,2.927653E-8
10.471275,1.991079E-8,1.991079E-8,2.815811E-8
10.531727,1.994040E-8,1.994040E-8,2.819998E-8
10.592527,1.997007E-8,1.997007E-8,2.824194E-8
10.653678,1.999977E-8,1.999977E-8,2.828395E-8
10.715183,2.002951E-8,2.002951E-8,2.832600E-8
10.777042,1.937911E-8,1.937911E-8,2.740620E-8
10.839258,1.874983E-8,1.874983E-8,2.651626E-8
10.901834,1.814098E-8,1.814098E-8,2.565522E-8
10.964771,1.755190E-8,1.755190E-8,2.482214E-8
11.028071,1.627423E-8,1.627423E-8,2.301524E-8
11.091737,1.508957E-8,1.508957E-8,2.133987E-8
11.155770,1.399115E-8,1.399115E-8,1.978647E-8
11.220173,1.297268E-8,1.297268E-8,1.834614E-8
11.284948,1.283355E-8,1.283355E-8,1.814938E-8
11.350097,1.269591E-8,1.269591E-8,1.795473E-8
11.415622,1.255975E-8,1.255975E-8,1.776217E-8
11.481525,1.242504E-8,1.242504E-8,1.757166E-8
11.547808,1.210991E-8,1.210991E-8,1.712600E-8
11.614474,1.180276E-8,1.180276E-8,1.669162E-8
11.681525,1.150341E-8,1.150341E-8,1.626828E-8
11.748964,1.121165E-8,1.121165E-8,1.585567E-8
11.816791,1.151529E-8,1.151529E-8,1.628508E-8
11.885010,1.182715E-8,1.182715E-8,1.672612E-8
11.953623,1.214745E-8,1.214745E-8,1.717909E-8
12.022632,1.247643E-8,1.247643E-8,1.764434E-8
12.092039,1.196044E-8,1.196044E-8,1.691462E-8
12.161847,1.146580E-8,1.146580E-8,1.621509E-8
12.232059,1.099160E-8,1.099160E-8,1.554447E-8
12.302675,1.053702E-8,1.053702E-8,1.490160E-8
12.373699,1.027845E-8,1.027845E-8,1.453592E-8
12.445133,1.002622E-8,1.002622E-8,1.417922E-8
12.516980,9.780182E-9,9.780182E-9,1.383127E-8
12.589241,9.540183E-9,9.540183E-9,1.349186E-8
12.661919,9.952723E-9,9.952723E-9,1.407528E-8
12.735017,1.038310E-8,1.038310E-8,1.468392E-8
12.808537,1.083209E-8,1.083209E-8,1.531889E-8
12.882482,1.130049E-8,1.130049E-8,1.598131E-8
12.956853,1.064858E-8,1.064858E-8,1.505937E-8
13.031654,1.003428E-8,1.003428E-8,1.419061E-8
13.106887,9.455409E-9,9.455409E-9,1.337197E-8
13.182553,8.909934E-9,8.909934E-9,1.260055E-8
13.258657,9.285889E-9,9.285889E-9,1.313223E-8
13.335200,9.677707E-9,9.677707E-9,1.368634E-8
13.412185,1.008606E-8,1.008606E-8,1.426384E-8
13.489614,1.051164E-8,1.051164E-8,1.486570E-8
13.567491,1.075831E-8,1.075831E-8,1.521455E-8
13.645817,1.101076E-8,1.101076E-8,1.557157E-8
13.724595,1.126914E-8,1.126914E-8,1.593697E-8
13.803828,1.153358E-8,1.153358E-8,1.631095E-8
13.883518,1.213962E-8,1.213962E-8,1.716802E-8
13.963668,1.277751E-8,1.277751E-8,1.807013E-8
14.044282,1.344891E-8,1.344891E-8,1.901963E-8
14.125360,1.415560E-8,1.415560E-8,2.001904E-8
14.206907,1.442221E-8,1.442221E-8,2.039608E-8
14.288924,1.469385E-8,1.469385E-8,2.078024E-8
14.371415,1.497061E-8,1.497061E-8,2.117164E-8
14.454382,1.525258E-8,1.525258E-8,2.157041E-8
14.537828,1.594555E-8,1.594555E-8,2.255041E-8
14.621756,1.666999E-8,1.666999E-8,2.357493E-8
14.706168,1.742735E-8,1.742735E-8,2.464599E-8
14.791067,1.821910E-8,1.821910E-8,2.576570E-8
14.876457,1.708524E-8,1.708524E-8,2.416218E-8
14.962340,1.602194E-8,1.602194E-8,2.265844E-8
15.048718,1.502481E-8,1.502481E-8,2.124829E-8
15.135596,1.408973E-8,1.408973E-8,1.992589E-8
15.222974,1.449043E-8,1.449043E-8,2.049256E-8
15.310857,1.490252E-8,1.490252E-8,2.107535E-8
15.399248,1.532633E-8,1.532633E-8,2.167470E-8
15.488149,1.576220E-8,1.576220E-8,2.229112E-8
15.577563,1.485449E-8,1.485449E-8,2.100742E-8
15.667493,1.399906E-8,1.399906E-8,1.979766E-8
15.757942,1.319289E-8,1.319289E-8,1.865756E-8
15.848914,1.243314E-8,1.243314E-8,1.758312E-8
15.940411,1.296534E-8,1.296534E-8,1.833576E-8
16.032436,1.352033E-8,1.352033E-8,1.912063E-8
16.124992,1.409907E-8,1.409907E-8,1.993910E-8
16.218082,1.470258E-8,1.470258E-8,2.079259E-8
16.311710,1.445990E-8,1.445990E-8,2.044939E-8
16.405879,1.422122E-8,1.422122E-8,2.011184E-8
16.500591,1.398649E-8,1.398649E-8,1.977988E-8
16.595850,1.375563E-8,1.375563E-8,1.945340E-8
16.691659,1.393237E-8,1.393237E-8,1.970335E-8
16.788021,1.411139E-8,1.411139E-8,1.995652E-8
16.884939,1.429270E-8,1.429270E-8,2.021293E-8
16.982417,1.447635E-8,1.447635E-8,2.047265E-8
17.080457,1.542459E-8,1.542459E-8,2.181366E-8
17.179064,1.643493E-8,1.643493E-8,2.324250E-8
17.278240,1.751145E-8,1.751145E-8,2.476493E-8
17.377988,1.865849E-8,1.865849E-8,2.638709E-8
17.478312,1.614620E-8,1.614620E-8,2.283418E-8
17.579215,1.397218E-8,1.397218E-8,1.975965E-8
17.680701,1.209088E-8,1.209088E-8,1.709909E-8
17.782773,1.046289E-8,1.046289E-8,1.479676E-8
17.885434,1.225684E-8,1.225684E-8,1.733379E-8
17.988688,1.435838E-8,1.435838E-8,2.030582E-8
18.092538,1.682024E-8,1.682024E-8,2.378741E-8
18.196987,1.970421E-8,1.970421E-8,2.786596E-8
18.302039,2.115321E-8,2.115321E-8,2.991516E-8
18.407698,2.270876E-8,2.270876E-8,3.211504E-8
18.513967,2.437871E-8,2.437871E-8,3.447670E-8
18.620849,2.617146E-8,2.617146E-8,3.701203E-8
18.728348,3.375555E-8,3.375555E-8,4.773756E-8
18.836468,4.353741E-8,4.353741E-8,6.157120E-8
18.945212,5.615391E-8,5.615391E-8,7.941362E-8
19.054584,7.242649E-8,7.242649E-8,1.024265E-7
19.164587,7.768801E-8,7.768801E-8,1.098674E-7
19.275226,8.333177E-8,8.333177E-8,1.178489E-7
19.386503,8.938552E-8,8.938552E-8,1.264102E-7
19.498422,9.587909E-8,9.587909E-8,1.355935E-7
19.610988,1.330471E-7,1.330471E-7,1.881570E-7
19.724203,1.846236E-7,1.846236E-7,2.610972E-7
19.838072,2.561939E-7,2.561939E-7,3.623129E-7
19.952599,3.555090E-7,3.555090E-7,5.027656E-7
20.067786,4.360729E-7,4.360729E-7,6.167002E-7
20.183639,5.348938E-7,5.348938E-7,7.564541E-7
20.300160,6.561091E-7,6.561091E-7,9.278784E-7
20.417354,8.047937E-7,8.047937E-7,1.138150E-6
20.535225,7.099105E-7,7.099105E-7,1.003965E-6
20.653776,6.262138E-7,6.262138E-7,8.856000E-7
20.773011,5.523848E-7,5.523848E-7,7.811901E-7
20.892935,4.872600E-7,4.872600E-7,6.890897E-7
21.013551,4.836764E-7,4.836764E-7,6.840217E-7
21.134864,4.801193E-7,4.801193E-7,6.789912E-7
21.256877,4.765882E-7,4.765882E-7,6.739975E-7
21.379594,4.730831E-7,4.730831E-7,6.690405E-7
21.503020,4.847764E-7,4.847764E-7,6.855774E-7
21.627158,4.967586E-7,4.967586E-7,7.025227E-7
21.752013,5.090370E-7,5.090370E-7,7.198870E-7
21.877589,5.216189E-7,5.216189E-7,7.376805E-7
22.003889,5.376060E-7,5.376060E-7,7.602897E-7
22.130919,5.540830E-7,5.540830E-7,7.835917E-7
22.258682,5.710651E-7,5.710651E-7,8.076080E-7
22.387183,5.885673E-7,5.885673E-7,8.323599E-7
22.516425,6.484361E-7,6.484361E-7,9.170271E-7
22.646414,7.143946E-7,7.143946E-7,1.010307E-6
22.777153,7.870623E-7,7.870623E-7,1.113074E-6
22.908647,8.671218E-7,8.671218E-7,1.226295E-6
23.040900,9.779094E-7,9.779094E-7,1.382973E-6
23.173917,1.102852E-6,1.102852E-6,1.559668E-6
23.307701,1.243757E-6,1.243757E-6,1.758938E-6
23.442258,1.402665E-6,1.402665E-6,1.983668E-6
23.577591,1.213398E-6,1.213398E-6,1.716004E-6
23.713706,1.049670E-6,1.049670E-6,1.484458E-6
23.850607,9.080345E-7,9.080345E-7,1.284155E-6
23.988298,7.855101E-7,7.855101E-7,1.110879E-6
24.126784,6.046546E-7,6.046546E-7,8.551107E-7
24.266069,4.654391E-7,4.654391E-7,6.582303E-7
24.406159,3.582766E-7,3.582766E-7,5.066796E-7
24.547057,2.757871E-7,2.757871E-7,3.900219E-7
24.688769,2.118805E-7,2.118805E-7,2.996443E-7
24.831298,1.627826E-7,1.627826E-7,2.302094E-7
24.974651,1.250619E-7,1.250619E-7,1.768642E-7
25.118831,9.608192E-8,9.608192E-8,1.358804E-7
25.263844,7.286060E-8,7.286060E-8,1.030404E-7
25.409693,5.525147E-8,5.525147E-8,7.813738E-8
25.556385,4.189815E-8,4.189815E-8,5.925293E-8
25.703924,3.177209E-8,3.177209E-8,4.493252E-8
25.852314,4.524979E-8,4.524979E-8,6.399287E-8
26.001561,6.444472E-8,6.444472E-8,9.113860E-8
26.151669,9.178213E-8,9.178213E-8,1.297995E-7
26.302645,1.307161E-7,1.307161E-7,1.848605E-7
26.454491,1.524488E-7,1.524488E-7,2.155952E-7
