Hz,real,imaginary,unitless (peak only)
9.999990,1.728969E-3,5.597155E-6,1.728978E-3
10.028814,1.739609E-3,1.138448E-4,1.743330E-3
10.057721,1.743541E-3,2.234464E-4,1.757801E-3
10.086711,1.740639E-3,3.339908E-4,1.772392E-3
10.115785,1.730798E-3,4.450561E-4,1.787103E-3
10.144942,1.710240E-3,4.520564E-4,1.768976E-3
10.174184,1.689845E-3,4.588485E-4,1.751033E-3
10.203510,1.669612E-3,4.654361E-4,1.733273E-3
10.232920,1.649541E-3,4.718217E-4,1.715693E-3
10.262415,1.809374E-3,4.402928E-4,1.862174E-3
10.291995,1.981349E-3,3.991806E-4,2.021160E-3
10.321661,2.166080E-3,3.471495E-4,2.193722E-3
10.351412,2.364169E-3,2.827246E-4,2.381014E-3
10.381248,2.297927E-3,7.142184E-4,2.406362E-3
10.411171,2.153020E-3,1.130939E-3,2.431978E-3
10.441180,1.932635E-3,1.518562E-3,2.457867E-3
10.471275,1.642567E-3,1.863434E-3,2.484032E-3
10.501458,1.479277E-3,1.703522E-3,2.256158E-3
10.531727,1.332049E-3,1.557183E-3,2.049188E-3
10.562083,1.199317E-3,1.423279E-3,1.861205E-3
10.592527,1.079669E-3,1.300765E-3,1.690466E-3
10.623059,1.349790E-3,1.083592E-3,1.730926E-3
10.653678,1.576254E-3,8.103464E-4,1.772354E-3
10.684386,1.747427E-3,4.897999E-4,1.814774E-3
10.715183,1.853433E-3,1.331362E-4,1.858209E-3
10.746068,1.861396E-3,1.147954E-4,1.864932E-3
10.777042,1.869202E-3,9.630834E-5,1.871681E-3
10.808106,1.876848E-3,7.767607E-5,1.878455E-3
10.839259,1.884331E-3,5.889968E-5,1.885251E-3
10.870502,1.826476E-3,2.657653E-4,1.845710E-3
10.901835,1.747310E-3,4.605941E-4,1.806997E-3
10.933258,1.648748E-3,6.413566E-4,1.769098E-3
10.964772,1.532873E-3,8.062894E-4,1.731994E-3
10.996376,1.304374E-3,4.320074E-4,1.374053E-3
11.028072,1.076946E-3,1.687477E-4,1.090086E-3
11.059859,8.647699E-4,-7.760655E-6,8.648047E-4
11.091738,6.757950E-4,-1.183543E-4,6.860806E-4
11.123708,8.804101E-4,-1.042400E-4,8.865596E-4
11.155771,1.143396E-3,-7.135612E-5,1.145620E-3
11.187926,1.480346E-3,-1.006948E-5,1.480380E-3
11.220174,1.910692E-3,9.316702E-5,1.912962E-3
11.252515,1.741778E-3,5.550535E-4,1.828080E-3
11.284949,1.472398E-3,9.401730E-4,1.746963E-3
11.317476,1.129075E-3,1.229733E-3,1.669447E-3
11.350097,7.409173E-4,1.412885E-3,1.595369E-3
11.382813,1.172110E-3,1.178765E-3,1.662326E-3
11.415622,1.529393E-3,8.130852E-4,1.732094E-3
11.448526,1.772634E-3,3.391605E-4,1.804788E-3
11.481525,1.869056E-3,-2.074587E-4,1.880534E-3
11.514619,2.026998E-3,-2.753738E-5,2.027185E-3
11.547809,2.177682E-3,1.819863E-4,2.185273E-3
11.581094,2.317488E-3,4.225134E-4,2.355688E-3
11.614475,2.442389E-3,6.951696E-4,2.539395E-3
11.647952,2.099024E-3,1.036744E-3,2.341098E-3
11.681526,1.730836E-3,1.289342E-3,2.158285E-3
11.715197,1.354943E-3,1.457129E-3,1.989748E-3
11.748964,9.861777E-4,1.546730E-3,1.834372E-3
11.782829,8.873482E-4,1.457454E-3,1.706329E-3
11.816792,7.971564E-4,1.372524E-3,1.587224E-3
11.850852,7.149145E-4,1.291801E-3,1.476432E-3
11.885011,6.399843E-4,1.215145E-3,1.373374E-3
11.919268,7.746109E-4,9.106941E-4,1.195569E-3
11.953624,8.311254E-4,6.264673E-4,1.040784E-3
11.988079,8.251240E-4,3.742661E-4,9.060379E-4
12.022633,7.720980E-4,1.611517E-4,7.887365E-4
12.057287,8.088368E-4,2.842212E-4,8.573206E-4
12.092040,8.307950E-4,4.220874E-4,9.318681E-4
12.126894,8.347084E-4,5.737803E-4,1.012898E-3
12.161848,8.171987E-4,7.377855E-4,1.100973E-3
12.196903,1.097072E-3,5.662019E-4,1.234565E-3
12.232060,1.351447E-3,3.001117E-4,1.384368E-3
12.267317,1.551144E-3,-6.115391E-5,1.552349E-3
12.302676,1.664333E-3,-5.099740E-4,1.740712E-3
12.338137,1.765331E-3,-4.718910E-4,1.827314E-3
12.373700,1.869840E-3,-4.281098E-4,1.918223E-3
12.409366,1.977818E-3,-3.782180E-4,2.013657E-3
12.445134,2.089203E-3,-3.217840E-4,2.113839E-3
12.481006,1.983380E-3,1.172642E-5,1.983415E-3
12.516981,1.835870E-3,3.050300E-4,1.861038E-3
12.553059,1.655701E-3,5.548991E-4,1.746213E-3
