Hz,real,imaginary,unitless (peak only)
9.999990,2.554352E-3,7.215391E-3,7.654187E-3
10.028814,3.454771E-3,6.960529E-3,7.770740E-3
10.057721,4.331184E-3,6.593806E-3,7.889070E-3
10.086711,5.169750E-3,6.117270E-3,8.009201E-3
10.115785,5.956772E-3,5.534674E-3,8.131159E-3
10.144942,5.717755E-3,4.745810E-3,7.430709E-3
10.174184,5.459388E-3,4.038238E-3,6.790603E-3
10.203510,5.187514E-3,3.405818E-3,6.205634E-3
10.232920,4.907151E-3,2.842664E-3,5.671055E-3
10.262415,5.047525E-3,3.403965E-3,6.088061E-3
10.291995,5.156766E-3,4.015415E-3,6.535732E-3
10.321661,5.228984E-3,4.678301E-3,7.016322E-3
10.351412,5.257783E-3,5.393558E-3,7.532247E-3
10.381248,5.189392E-3,5.053821E-3,7.243680E-3
10.411171,5.115156E-3,4.728920E-3,6.966169E-3
10.441180,5.035670E-3,4.418424E-3,6.699287E-3
10.471275,4.951495E-3,4.121910E-3,6.442627E-3
10.501458,5.091489E-3,4.241099E-3,6.626476E-3
10.531727,5.235440E-3,4.363730E-3,6.815568E-3
10.562083,5.383461E-3,4.489911E-3,7.010061E-3
10.592527,5.535671E-3,4.619741E-3,7.210108E-3
10.623059,5.816328E-3,4.751123E-3,7.510182E-3
10.653678,6.110094E-3,4.884896E-3,7.822753E-3
10.684386,6.417531E-3,5.021009E-3,8.148327E-3
10.715183,6.739241E-3,5.159418E-3,8.487459E-3
10.746068,6.675028E-3,4.691592E-3,8.158862E-3
10.777042,6.595028E-3,4.244768E-3,7.842987E-3
10.808106,6.500688E-3,3.818731E-3,7.539340E-3
10.839259,6.393391E-3,3.413222E-3,7.247450E-3
10.870502,6.111507E-3,3.521872E-3,7.053659E-3
10.901835,5.833880E-3,3.618672E-3,6.865052E-3
10.933258,5.560764E-3,3.704076E-3,6.681488E-3
10.964772,5.292394E-3,3.778537E-3,6.502828E-3
10.996376,5.111170E-3,4.401003E-3,6.744841E-3
11.028072,4.865401E-3,5.026919E-3,6.995859E-3
11.059859,4.552639E-3,5.650326E-3,7.256218E-3
11.091738,4.170914E-3,6.264835E-3,7.526266E-3
11.123708,4.019550E-3,5.891723E-3,7.132263E-3
11.155771,3.872112E-3,5.539789E-3,6.758884E-3
11.187926,3.728626E-3,5.207882E-3,6.405052E-3
11.220174,3.589095E-3,4.894913E-3,6.069743E-3
11.252515,4.135448E-3,4.776857E-3,6.318251E-3
