Hz,real,imaginary,V^2 (rms) 
9.99999046326,1.548056e-06,1.548056e-06,2.18928179051e-06
10.0577210151,1.721266e-06,1.721266e-06,2.43423772165e-06
10.1157848488,1.913856e-06,1.913856e-06,2.70660111163e-06
10.1741838887,2.127994e-06,2.127994e-06,3.00943797545e-06
10.2329200697,2.366093e-06,2.366093e-06,3.34616081044e-06
10.2919953382,2.62158e-06,2.62158e-06,3.70747399085e-06
10.3514116519,2.904655e-06,2.904655e-06,4.10780249501e-06
10.4111709795,3.218295e-06,3.218295e-06,4.55135643672e-06
10.4712753014,3.565804e-06,3.565804e-06,5.04280837756e-06
10.5317266092,3.913758e-06,3.913758e-06,5.53488964345e-06
10.592526906,4.295665e-06,4.295665e-06,6.07498770241e-06
10.6536782067,4.714841e-06,4.714841e-06,6.66779208663e-06
10.7151825375,5.174919e-06,5.174919e-06,7.31844063398e-06
10.7770419365,6.097708e-06,6.097708e-06,8.62346135299e-06
10.8392584537,7.185048e-06,7.185048e-06,1.01611923279e-05
10.9018341505,8.466282e-06,8.466282e-06,1.19731308273e-05
10.9647711006,9.975982e-06,9.975982e-06,1.41081690424e-05
11.0280713896,1.215376e-05,1.215376e-05,1.71880122258e-05
11.091737115,1.480695e-05,1.480695e-05,2.09401895074e-05
11.1557703865,1.803934e-05,1.803934e-05,2.55114792843e-05
11.2201733259,2.197736e-05,2.197736e-05,3.10806805772e-05
11.2849480674,2.260348e-05,2.260348e-05,3.19661479728e-05
11.3500967575,2.324742e-05,2.324742e-05,3.28768166542e-05
11.4156215548,2.390972e-05,2.390972e-05,3.38134502965e-05
11.4815246308,2.459088e-05,2.459088e-05,3.47767560067e-05
11.5478081693,2.381877e-05,2.381877e-05,3.3684827573e-05
11.6144743666,2.30709e-05,2.30709e-05,3.26271796762e-05
11.681525432,2.234651e-05,2.234651e-05,3.16027375137e-05
11.7489635872,2.164487e-05,2.164487e-05,3.06104687098e-05
11.816791067,1.894035e-05,1.894035e-05,2.67856998461e-05
11.8850101189,1.657376e-05,1.657376e-05,2.34388361715e-05
11.9536230036,1.450288e-05,1.450288e-05,2.05101695895e-05
12.0226319946,1.269075e-05,1.269075e-05,1.79474307667e-05
12.0920393787,1.183501e-05,1.183501e-05,1.67372316528e-05
12.1618474559,1.103697e-05,1.103697e-05,1.56086326615e-05
12.2320585393,1.029275e-05,1.029275e-05,1.45561466441e-05
12.3026749556,9.598705e-06,9.598705e-06,1.35746187922e-05
12.3736990447,8.141635e-06,8.141635e-06,1.15140106369e-05
12.4451331602,6.905745e-06,6.905745e-06,9.76619823729e-06
12.5169796691,5.857461e-06,5.857461e-06,8.28370078727e-06
12.5892409524,4.968307e-06,4.968307e-06,7.02624714143e-06
12.6619194044,4.704239e-06,4.704239e-06,6.65279859444e-06
12.7350174335,4.454208e-06,4.454208e-06,6.29920136323e-06
12.808537462,4.217464e-06,4.217464e-06,5.96439478762e-06
12.8824819261,3.993303e-06,3.993303e-06,5.64738326127e-06
12.956853276,3.523607e-06,3.523607e-06,4.98313280787e-06
13.0316539763,3.109158e-06,3.109158e-06,4.39701341116e-06
13.1068865055,2.743456e-06,2.743456e-06,3.87983268297e-06
13.1825533567,2.420768e-06,2.420768e-06,3.42348293696e-06
13.2586570372,2.283366e-06,2.283366e-06,3.22916716506e-06
13.3352000689,2.153762e-06,2.153762e-06,3.04587943052e-06
13.4121849882,2.031515e-06,2.031515e-06,2.87299606516e-06
13.489614346,1.916206e-06,1.916206e-06,2.7099245135e-06
13.5674907083,1.622212e-06,1.622212e-06,2.29415421144e-06
13.6458166555,1.373324e-06,1.373324e-06,1.94217342633e-06
13.7245947832,1.162622e-06,1.162622e-06,1.64419580031e-06
13.8038277017,9.842465e-07,9.842465e-07,1.39193474902e-06
13.8835180367,9.419549e-07,9.419549e-07,1.33212539472e-06
13.9636684289,9.014805e-07,9.014805e-07,1.27488594931e-06
14.0442815341,8.627452e-07,8.627452e-07,1.22010596271e-06
14.1253600237,8.256742e-07,8.256742e-07,1.16767965174e-06
14.2069065844,7.135956e-07,7.135956e-07,1.00917657557e-06
14.2889239182,6.167307e-07,6.167307e-07,8.72188920272e-07
14.3714147431,5.330145e-07,5.330145e-07,7.53796334842e-07
14.4543817926,4.606621e-07,4.606621e-07,6.51474589491e-07
14.5378278159,4.403395e-07,4.403395e-07,6.22734092949e-07
14.6217555781,4.209135e-07,4.209135e-07,5.95261580286e-07
14.7061678604,4.023445e-07,4.023445e-07,5.69001048646e-07
14.7910674599,3.845946e-07,3.845946e-07,5.43898899335e-07
14.8764571899,3.609526e-07,3.609526e-07,5.10464062294e-07
14.9623398801,3.38764e-07,3.38764e-07,4.79084643244e-07
15.0487183762,3.179393e-07,3.179393e-07,4.49634070071e-07
15.1355955406,2.983949e-07,2.983949e-07,4.21994114523e-07
15.2229742522,3.24849e-07,3.24849e-07,4.59405861523e-07
15.3108574064,3.536484e-07,3.536484e-07,5.00134363592e-07
15.3992479154,3.85001e-07,3.85001e-07,5.44473635727e-07
15.4881487081,4.191332e-07,4.191332e-07,5.92743855881e-07
15.5775627305,4.944759e-07,4.944759e-07,6.99294524047e-07
15.6674929455,5.833621e-07,5.833621e-07,8.24998593594e-07
15.757942333,6.882262e-07,6.882262e-07,9.7329882602e-07
15.8489138904,8.119409e-07,8.119409e-07,1.14825783263e-06
15.9404106321,9.155123e-07,9.155123e-07,1.29472991118e-06
16.03243559,1.032295e-06,1.032295e-06,1.45988558937e-06
16.1249918136,1.163975e-06,1.163975e-06,1.64610923126e-06
16.2180823699,1.312452e-06,1.312452e-06,1.85608741836e-06
16.3117103437,1.602072e-06,1.602072e-06,2.2656719503e-06
16.4058788374,1.955602e-06,1.955602e-06,2.765638871e-06
16.5005909715,2.387146e-06,2.387146e-06,3.37593424856e-06
16.5958498845,2.91392e-06,2.91392e-06,4.12090518367e-06
16.6916587331,3.371406e-06,3.371406e-06,4.76788808947e-06
16.7880206919,3.900717e-06,3.900717e-06,5.51644688438e-06
16.8849389541,4.513131e-06,4.513131e-06,6.38253106897e-06
16.9824167314,5.221696e-06,5.221696e-06,7.38459330179e-06
17.0804572538,6.481447e-06,6.481447e-06,9.1661502512e-06
17.17906377,8.045115e-06,8.045115e-06,1.13775107439e-05
17.2782395477,9.986024e-06,9.986024e-06,1.4122370575e-05
17.3779878732,1.239518e-05,1.239518e-05,1.75294316641e-05
17.4783120518,1.478285e-05,1.478285e-05,2.09061069605e-05
17.5792154079,1.763045e-05,1.763045e-05,2.49332215007e-05
17.6807012853,2.102658e-05,2.102658e-05,2.97360746063e-05
17.7827730468,2.50769e-05,2.50769e-05,3.54640920823e-05
17.8854340747,2.579444e-05,2.579444e-05,3.64788468818e-05
17.988687771,2.653252e-05,2.653252e-05,3.75226496279e-05
18.0925375572,2.729172e-05,2.729172e-05,3.85963205645e-05
18.1969868745,2.807263e-05,2.807263e-05,3.97006940775e-05
18.302039184,2.848768e-05,2.848768e-05,4.02876634165e-05
18.4076979669,2.890887e-05,2.890887e-05,4.08833160269e-05
18.5139667243,2.933628e-05,2.933628e-05,4.14877650456e-05
18.6208489778,2.977002e-05,2.977002e-05,4.21011660361e-05
18.7283482689,2.858562e-05,2.858562e-05,4.04261714928e-05
18.83646816,2.744835e-05,2.744835e-05,3.88178288348e-05
18.9452122338,2.635632e-05,2.635632e-05,3.72734651982e-05
19.0545840938,2.530773e-05,2.530773e-05,3.57905349989e-05
19.1645873641,2.492129e-05,2.492129e-05,3.52440263098e-05
19.27522569,2.454076e-05,2.454076e-05,3.47058756229e-05
19.3865027376,2.416604e-05,2.416604e-05,3.41759415169e-05
19.4984221944,2.379704e-05,2.379704e-05,3.36540967123e-05
