Hz,real,imaginary,unitless (peak only)
10.000000,2.400387E+0,-2.290646E+0,3.317969E+0
10.292005,3.359549E-1,-2.427404E+0,2.450542E+0
10.592537,-9.323594E-2,-8.511545E-1,8.562458E-1
10.901845,-1.310161E-1,-7.211905E-1,7.329945E-1
11.220185,5.265374E-2,-9.445694E-1,9.460358E-1
11.547820,-2.256567E-1,-1.566080E-1,2.746762E-1
11.885022,-2.229782E-1,-5.524162E-1,5.957205E-1
12.232071,2.086203E-1,-3.936667E-1,4.455288E-1
12.589254,-4.303063E-2,-2.938994E-1,2.970328E-1
12.956867,1.004784E-1,-5.046412E-2,1.124390E-1
13.335214,2.455394E-2,1.984602E-1,1.999734E-1
13.724610,6.478358E-1,1.785506E-1,6.719907E-1
14.125375,6.746278E-1,-1.806185E-1,6.983879E-1
14.537844,4.478894E-1,1.076121E-2,4.480187E-1
14.962357,3.477145E-1,7.538348E-2,3.557921E-1
15.399265,4.549417E-1,1.593828E-1,4.820527E-1
15.848932,9.163181E-1,-1.234266E-1,9.245934E-1
16.311729,4.366729E-1,-1.054990E-2,4.368003E-1
16.788040,4.179615E-1,1.746209E-1,4.529727E-1
17.278260,6.120473E-1,1.639401E-1,6.336231E-1
17.782794,2.072014E-1,-2.324198E-1,3.113702E-1
18.302061,3.341383E-1,-7.074462E-2,3.415453E-1
18.836491,9.205489E-2,-8.241960E-2,1.235601E-1
19.386526,4.744517E-2,-8.387530E-2,9.636446E-2
19.952623,-3.871167E-2,-1.327213E-1,1.382517E-1
20.535250,-5.863473E-2,3.895413E-2,7.039500E-2
21.134890,-3.383929E-2,1.371969E-1,1.413085E-1
21.752040,-3.315999E-2,2.662296E-1,2.682868E-1
22.387211,-2.135543E-2,1.767040E-1,1.779898E-1
23.040930,8.611740E-2,1.818697E-1,2.012282E-1
23.713737,1.256856E-1,1.537791E-1,1.986074E-1
24.406191,2.705019E-2,1.146631E-1,1.178106E-1
25.118864,4.017731E-2,7.190683E-2,8.236995E-2
25.852348,-1.326736E-2,1.335678E-1,1.342251E-1
26.607251,-3.596938E-2,3.129001E-1,3.149607E-1
27.384196,1.037795E-1,1.986859E-1,2.241568E-1
28.183829,2.099991E-1,2.040657E-1,2.928181E-1
29.006812,1.467803E-1,5.163591E-2,1.555980E-1
29.853826,1.661693E-1,8.995347E-3,1.664126E-1
30.725574,1.351318E-1,-2.508441E-3,1.351551E-1
31.622777,1.477554E-1,-5.736339E-2,1.584999E-1
32.546178,1.918323E-1,-9.987555E-2,2.162747E-1
33.496544,2.721200E-1,-1.628428E-1,3.171231E-1
34.474661,4.385861E-1,-2.944236E-1,5.282452E-1
35.481339,4.345376E-1,-2.874120E-1,5.209881E-1
36.517413,1.334431E-1,1.231928E-1,1.816137E-1
37.583740,-2.581312E-1,-2.464411E-3,2.581430E-1
38.681205,-8.042814E-1,7.766123E-2,8.080222E-1
39.810717,-7.278680E-1,6.879571E-2,7.311119E-1
40.973211,-7.492039E-1,1.178098E-1,7.584099E-1
42.169650,-7.038675E-1,1.198875E-1,7.140045E-1
43.401026,-6.895594E-1,9.194089E-2,6.956618E-1
44.668359,-6.920403E-1,1.080830E-1,7.004297E-1
45.972699,-7.093367E-1,1.178278E-1,7.190563E-1
47.315126,-7.001692E-1,9.527206E-2,7.066213E-1
48.696753,-8.407096E-1,-9.420468E-3,8.407624E-1
50.118723,-9.216355E-1,6.117284E-1,1.106175E+0
51.582217,-3.326120E-1,3.789926E-1,5.042481E-1
53.088444,-4.917730E-1,1.588318E-1,5.167864E-1
54.638655,-6.562546E-1,6.935585E-2,6.599093E-1
56.234133,-7.865570E-1,8.811408E-2,7.914771E-1
57.876199,2.703064E-1,7.301880E-1,7.786142E-1
59.566214,1.381380E-1,4.138117E-1,4.362594E-1
61.305579,3.385210E-2,3.034777E-1,3.053599E-1
63.095734,-2.122592E-3,2.267650E-1,2.267749E-1
64.938163,-7.373434E-2,1.449040E-1,1.625851E-1
66.834392,-1.080146E-1,8.950287E-2,1.402780E-1
68.785991,-2.128081E-1,6.876722E-2,2.236431E-1
70.794578,-1.701166E-1,1.109748E-1,2.031134E-1
72.861817,-1.754974E-1,6.084251E-2,1.857448E-1
74.989421,-1.897460E-1,1.500775E-3,1.897519E-1
77.179152,-2.571647E-1,-6.978731E-2,2.664657E-1
79.432823,-3.835461E-1,-6.925821E-2,3.897490E-1
81.752304,-4.565464E-1,-2.524912E-2,4.572441E-1
84.139514,-4.963124E-1,3.621379E-2,4.976318E-1
86.596432,-4.851303E-1,7.870632E-2,4.914734E-1
89.125094,-5.092685E-1,8.699979E-2,5.166463E-1
91.727594,-5.299729E-1,1.130444E-1,5.418951E-1
94.406088,-5.459217E-1,1.272140E-1,5.605479E-1
97.162795,-5.594970E-1,1.318357E-1,5.748196E-1
100.000000,-5.928397E-1,1.352180E-1,6.080648E-1
102.920053,-6.203405E-1,1.425078E-1,6.364989E-1
105.925373,-6.853386E-1,1.208835E-1,6.959180E-1
109.018449,-7.821937E-1,1.123071E-1,7.902151E-1
112.201845,-8.945688E-1,1.143210E-1,9.018440E-1
115.478198,-1.008995E+0,1.300401E-1,1.017340E+0
118.850223,-1.142978E+0,1.325905E-1,1.150643E+0
122.320712,-1.411933E+0,1.532278E-1,1.420223E+0
125.892541,-1.634495E+0,1.583641E-1,1.642149E+0
129.568670,-2.088938E+0,1.929442E-1,2.097830E+0
133.352143,-2.719433E+0,3.500195E-1,2.741866E+0
137.246096,-3.793931E+0,3.655734E-1,3.811503E+0
141.253754,-6.686914E+0,7.437452E-1,6.728148E+0
145.378439,-1.315520E+1,4.504282E+0,1.390496E+1
149.623566,7.833928E+0,5.726097E+0,9.703536E+0
153.992653,2.148056E+0,2.346846E+0,3.181482E+0
158.489319,-1.166804E+0,4.460621E+0,4.610702E+0
163.117291,1.644546E+1,6.146976E+0,1.755672E+1
167.880402,1.795082E+1,-3.360460E-1,1.795397E+1
172.782598,1.723914E+1,-8.073109E+0,1.903584E+1
177.827941,-4.283004E+0,-5.568272E+0,7.024940E+0
183.020611,-1.529299E+0,-5.159514E+0,5.381388E+0
188.364909,-6.200572E-1,-1.933962E-1,6.495175E-1
193.865264,2.146798E-1,-3.446321E-1,4.060280E-1
199.526231,2.973919E-1,-9.381434E-1,9.841519E-1
205.352503,6.010952E-2,-2.290932E-1,2.368477E-1
211.348904,3.918298E-1,1.180176E-2,3.920075E-1
217.520403,6.243356E-1,-2.103986E-2,6.246900E-1
223.872114,6.938083E-1,-5.414163E-2,6.959176E-1
230.409298,7.500296E-1,-8.074746E-2,7.543637E-1
237.137371,8.058575E-1,-8.892754E-2,8.107493E-1
244.061907,8.423133E-1,-1.059387E-1,8.489492E-1
251.188643,8.559965E-1,-1.175324E-1,8.640277E-1
258.523484,8.908534E-1,-9.431057E-2,8.958316E-1
266.072506,9.054478E-1,-1.437802E-1,9.167925E-1
273.841963,9.056899E-1,-1.609589E-1,9.198815E-1
281.838293,9.766936E-1,-1.139373E-1,9.833169E-1
290.068120,1.002591E+0,-1.665414E-1,1.016329E+0
298.538262,8.221741E-1,-3.121836E-1,8.794480E-1
307.255737,8.354001E-1,-1.638561E-1,8.513179E-1
316.227766,9.707800E-1,-1.545131E-1,9.829995E-1
325.461783,9.783475E-1,-7.230059E-1,1.216512E+0
334.965439,1.337947E-1,-5.096234E-1,5.268938E-1
344.746607,2.985507E-2,9.357157E-2,9.821896E-2
354.813389,-5.549910E-1,1.036214E+0,1.175481E+0
365.174127,2.759805E-1,2.357759E+0,2.373856E+0
375.837404,6.360994E-1,2.840092E-1,6.966230E-1
386.812055,-6.301241E-1,-5.062985E-1,8.083282E-1
398.107171,-3.445407E-1,7.266854E-2,3.521207E-1
409.732110,-7.608902E-1,-5.916180E-2,7.631867E-1
421.696503,-1.708716E+0,4.351730E+0,4.675175E+0
434.010264,6.543200E+0,1.730619E+0,6.768198E+0
446.683592,4.316628E+0,4.378716E-1,4.338780E+0
459.726989,3.408103E+0,3.617093E-1,3.427244E+0
473.151259,2.490825E+0,2.696251E-1,2.505376E+0
486.967525,1.985436E+0,1.743201E-1,1.993074E+0
501.187234,1.425690E+0,2.511390E-1,1.447640E+0
515.822165,1.171671E+0,5.261361E-1,1.284380E+0
530.884444,1.807637E+0,-4.049138E-1,1.852433E+0
546.386550,3.588845E-1,-1.153965E+0,1.208484E+0
562.341325,-3.977684E-1,-1.944963E-1,4.427737E-1
578.761988,-2.739095E-1,-1.064492E-1,2.938671E-1
595.662144,-1.183325E-1,1.624839E-1,2.010065E-1
613.055792,-1.052649E-1,-8.053522E-2,1.325391E-1
630.957344,-4.452000E-1,2.773911E-1,5.245463E-1
649.381632,4.977691E-2,4.784624E-2,6.904349E-2
668.343918,2.105618E-1,7.482456E-2,2.234614E-1
687.859912,2.422330E-1,7.205215E-2,2.527219E-1
707.945784,-1.770926E-1,-4.928069E-2,1.838216E-1
728.618175,-6.195611E-1,-8.907665E-2,6.259318E-1
749.894209,-3.687360E-1,-3.641444E-2,3.705297E-1
771.791516,-2.555507E-1,-6.189748E-3,2.556257E-1
794.328235,-1.746320E-1,-1.124063E-1,2.076813E-1
817.523038,-2.108983E-1,5.507372E-2,2.179707E-1
841.395142,1.356463E-1,5.225753E-2,1.453643E-1
865.964323,-1.703705E-1,-1.888023E-1,2.543077E-1
891.250938,-1.584383E-1,-5.792749E-2,1.686958E-1
917.275935,-9.631290E-2,1.004132E-2,9.683493E-2
944.060876,-1.361231E-2,3.354833E-4,1.361644E-2
971.627952,3.829530E-2,-3.589056E-2,5.248488E-2
1000.000000,2.178840E-1,-7.219087E-2,2.295320E-1
