Hz,real,imaginary,unitless (peak only)
9.999990,9.413084E-1,-1.687623E-2,9.414597E-1
10.057721,9.122742E-1,-1.704679E-2,9.124335E-1
10.115785,8.841349E-1,-1.719078E-2,8.843020E-1
10.174184,8.568631E-1,-1.730968E-2,8.570379E-1
10.232920,8.304320E-1,-1.740488E-2,8.306144E-1
10.291995,8.674899E-1,-1.231077E-2,8.675772E-1
10.351412,9.061597E-1,-6.728233E-3,9.061847E-1
10.411171,9.465099E-1,-6.241420E-4,9.465101E-1
10.471275,9.886118E-1,6.036566E-3,9.886302E-1
10.531727,9.416901E-1,-8.747365E-4,9.416905E-1
10.592527,8.969508E-1,-7.143314E-3,8.969792E-1
10.653678,8.542951E-1,-1.281432E-2,8.543912E-1
10.715183,8.136274E-1,-1.793011E-2,8.138249E-1
10.777042,8.615485E-1,-2.574274E-2,8.619330E-1
10.839258,9.122361E-1,-3.441470E-2,9.128850E-1
10.901834,9.658464E-1,-4.401974E-2,9.668490E-1
10.964771,1.022544E+0,-5.463722E-2,1.024003E+0
11.028071,9.990173E-1,-4.250956E-2,9.999213E-1
11.091737,9.759165E-1,-3.091721E-2,9.764061E-1
11.155770,9.532374E-1,-1.984302E-2,9.534439E-1
11.220173,9.309762E-1,-9.270342E-3,9.310224E-1
11.284948,9.386021E-1,-1.749764E-2,9.387652E-1
11.350097,9.462191E-1,-2.585982E-2,9.465724E-1
11.415622,9.538260E-1,-3.435791E-2,9.544446E-1
11.481525,9.614223E-1,-4.299297E-2,9.623831E-1
11.547808,9.672778E-1,-1.956012E-2,9.674756E-1
11.614474,9.725865E-1,4.133695E-3,9.725953E-1
11.681525,9.773387E-1,2.807634E-2,9.777419E-1
11.748964,9.815255E-1,5.225534E-2,9.829155E-1
11.816791,9.808935E-1,4.141342E-2,9.817674E-1
11.885010,9.801434E-1,3.059177E-2,9.806207E-1
11.953623,9.792753E-1,1.979164E-2,9.794753E-1
12.022632,9.782892E-1,9.014299E-3,9.783307E-1
