Hz,real,imaginary,V^2 (rms)
9.999990,4.604908E-7,4.604908E-7,6.512323E-7
10.057721,4.495860E-7,4.495860E-7,6.358106E-7
10.115785,4.389395E-7,4.389395E-7,6.207542E-7
10.174184,4.285450E-7,4.285450E-7,6.060542E-7
10.232920,4.183967E-7,4.183967E-7,5.917023E-7
10.291995,4.724318E-7,4.724318E-7,6.681195E-7
10.351412,5.334455E-7,5.334455E-7,7.544059E-7
10.411171,6.023389E-7,6.023389E-7,8.518358E-7
10.471275,6.801297E-7,6.801297E-7,9.618486E-7
10.531727,6.249526E-7,6.249526E-7,8.838164E-7
10.592527,5.742519E-7,5.742519E-7,8.121148E-7
10.653678,5.276644E-7,5.276644E-7,7.462302E-7
10.715183,4.848564E-7,4.848564E-7,6.856905E-7
10.777042,5.765430E-7,5.765430E-7,8.153549E-7
10.839258,6.855676E-7,6.855676E-7,9.695390E-7
10.901834,8.152087E-7,8.152087E-7,1.152879E-6
10.964771,9.693654E-7,9.693654E-7,1.370890E-6
11.028071,9.485570E-7,9.485570E-7,1.341462E-6
11.091737,9.281954E-7,9.281954E-7,1.312667E-6
11.155770,9.082709E-7,9.082709E-7,1.284489E-6
11.220173,8.887740E-7,8.887740E-7,1.256916E-6
11.284948,9.388077E-7,9.388077E-7,1.327675E-6
11.350097,9.916580E-7,9.916580E-7,1.402416E-6
11.415622,1.047483E-6,1.047483E-6,1.481365E-6
11.481525,1.106452E-6,1.106452E-6,1.564759E-6
11.547808,1.170679E-6,1.170679E-6,1.655590E-6
11.614474,1.238635E-6,1.238635E-6,1.751694E-6
11.681525,1.310535E-6,1.310535E-6,1.853376E-6
11.748964,1.386609E-6,1.386609E-6,1.960961E-6
11.816791,1.422146E-6,1.422146E-6,2.011218E-6
11.885010,1.458594E-6,1.458594E-6,2.062763E-6
11.953623,1.495975E-6,1.495975E-6,2.115628E-6
12.022632,1.534315E-6,1.534315E-6,2.169849E-6
12.092039,1.643428E-6,1.643428E-6,2.324158E-6
12.161847,1.760301E-6,1.760301E-6,2.489442E-6
12.232059,1.885485E-6,1.885485E-6,2.666478E-6
12.302675,2.019573E-6,2.019573E-6,2.856108E-6
12.373699,2.040470E-6,2.040470E-6,2.885660E-6
12.445133,2.061584E-6,2.061584E-6,2.915520E-6
12.516980,2.082917E-6,2.082917E-6,2.945689E-6
12.589241,2.104469E-6,2.104469E-6,2.976169E-6
12.661919,2.241098E-6,2.241098E-6,3.169391E-6
12.735017,2.386596E-6,2.386596E-6,3.375156E-6
12.808537,2.541542E-6,2.541542E-6,3.594283E-6
12.882482,2.706547E-6,2.706547E-6,3.827635E-6
12.956853,2.780911E-6,2.780911E-6,3.932802E-6
13.031654,2.857319E-6,2.857319E-6,4.040859E-6
13.106887,2.935827E-6,2.935827E-6,4.151886E-6
13.182553,3.016491E-6,3.016491E-6,4.265962E-6
13.258657,3.230178E-6,3.230178E-6,4.568162E-6
13.335200,3.459003E-6,3.459003E-6,4.891769E-6
13.412185,3.704038E-6,3.704038E-6,5.238301E-6
13.489614,3.966430E-6,3.966430E-6,5.609379E-6
13.567491,3.939653E-6,3.939653E-6,5.571511E-6
13.645817,3.913055E-6,3.913055E-6,5.533895E-6
13.724595,3.886638E-6,3.886638E-6,5.496536E-6
13.803828,3.860400E-6,3.860400E-6,5.459430E-6
13.883518,3.980442E-6,3.980442E-6,5.629195E-6
13.963668,4.104216E-6,4.104216E-6,5.804238E-6
14.044282,4.231839E-6,4.231839E-6,5.984724E-6
14.125360,4.363427E-6,4.363427E-6,6.170818E-6
14.206907,4.877281E-6,4.877281E-6,6.897517E-6
14.288924,5.451648E-6,5.451648E-6,7.709795E-6
14.371415,6.093654E-6,6.093654E-6,8.617728E-6
14.454382,6.811268E-6,6.811268E-6,9.632588E-6
14.537828,7.483360E-6,7.483360E-6,1.058307E-5
14.621756,8.221770E-6,8.221770E-6,1.162734E-5
14.706168,9.033041E-6,9.033041E-6,1.277465E-5
14.791067,9.924362E-6,9.924362E-6,1.403517E-5
14.876457,1.036059E-5,1.036059E-5,1.465209E-5
14.962340,1.081599E-5,1.081599E-5,1.529612E-5
15.048718,1.129141E-5,1.129141E-5,1.596847E-5
15.135596,1.178772E-5,1.178772E-5,1.667035E-5
15.222974,1.192377E-5,1.192377E-5,1.686276E-5
15.310857,1.206140E-5,1.206140E-5,1.705740E-5
15.399248,1.220061E-5,1.220061E-5,1.725427E-5
15.488149,1.234143E-5,1.234143E-5,1.745342E-5
15.577563,1.343119E-5,1.343119E-5,1.899457E-5
15.667493,1.461718E-5,1.461718E-5,2.067181E-5
15.757942,1.590789E-5,1.590789E-5,2.249715E-5
15.848914,1.731257E-5,1.731257E-5,2.448367E-5
15.940411,1.786789E-5,1.786789E-5,2.526901E-5
16.032436,1.844103E-5,1.844103E-5,2.607955E-5
16.124992,1.903255E-5,1.903255E-5,2.691609E-5
16.218082,1.964305E-5,1.964305E-5,2.777947E-5
16.311710,2.156760E-5,2.156760E-5,3.050119E-5
16.405879,2.368072E-5,2.368072E-5,3.348960E-5
16.500591,2.600087E-5,2.600087E-5,3.677078E-5
16.595850,2.854834E-5,2.854834E-5,4.037345E-5
16.691659,3.043154E-5,3.043154E-5,4.303670E-5
16.788021,3.243895E-5,3.243895E-5,4.587560E-5
16.884939,3.457880E-5,3.457880E-5,4.890181E-5
16.982417,3.685980E-5,3.685980E-5,5.212763E-5
17.080457,4.022873E-5,4.022873E-5,5.689202E-5
17.179064,4.390556E-5,4.390556E-5,6.209184E-5
17.278240,4.791845E-5,4.791845E-5,6.776692E-5
17.377988,5.229811E-5,5.229811E-5,7.396070E-5
17.478312,5.560766E-5,5.560766E-5,7.864111E-5
17.579215,5.912665E-5,5.912665E-5,8.361771E-5
17.680701,6.286833E-5,6.286833E-5,8.890924E-5
17.782773,6.684680E-5,6.684680E-5,9.453565E-5
17.885434,7.220582E-5,7.220582E-5,1.021144E-4
17.988688,7.799447E-5,7.799447E-5,1.103008E-4
18.092538,8.424718E-5,8.424718E-5,1.191435E-4
18.196987,9.100114E-5,9.100114E-5,1.286950E-4
18.302039,9.425373E-5,9.425373E-5,1.332949E-4
18.407698,9.762257E-5,9.762257E-5,1.380592E-4
18.513967,1.011118E-4,1.011118E-4,1.429937E-4
18.620849,1.047258E-4,1.047258E-4,1.481046E-4
18.728348,1.083395E-4,1.083395E-4,1.532152E-4
18.836468,1.120780E-4,1.120780E-4,1.585022E-4
18.945212,1.159455E-4,1.159455E-4,1.639717E-4
19.054584,1.199464E-4,1.199464E-4,1.696298E-4
19.164587,1.210281E-4,1.210281E-4,1.711596E-4
19.275226,1.221195E-4,1.221195E-4,1.727031E-4
19.386503,1.232207E-4,1.232207E-4,1.742604E-4
19.498422,1.243319E-4,1.243319E-4,1.758319E-4
19.610988,1.209403E-4,1.209403E-4,1.710354E-4
19.724203,1.176412E-4,1.176412E-4,1.663698E-4
19.838072,1.144322E-4,1.144322E-4,1.618316E-4
19.952599,1.113106E-4,1.113106E-4,1.574170E-4
20.067786,1.101348E-4,1.101348E-4,1.557541E-4
20.183639,1.089713E-4,1.089713E-4,1.541087E-4
20.300160,1.078202E-4,1.078202E-4,1.524808E-4
20.417354,1.066812E-4,1.066812E-4,1.508700E-4
20.535225,1.042663E-4,1.042663E-4,1.474548E-4
20.653776,1.019061E-4,1.019061E-4,1.441170E-4
20.773011,9.959937E-5,9.959937E-5,1.408548E-4
20.892935,9.734483E-5,9.734483E-5,1.376664E-4
21.013551,9.522508E-5,9.522508E-5,1.346686E-4
21.134864,9.315149E-5,9.315149E-5,1.317361E-4
21.256877,9.112306E-5,9.112306E-5,1.288675E-4
21.379594,8.913876E-5,8.913876E-5,1.260612E-4
21.503020,8.534681E-5,8.534681E-5,1.206986E-4
21.627158,8.171616E-5,8.171616E-5,1.155641E-4
21.752013,7.823995E-5,7.823995E-5,1.106480E-4
21.877589,7.491161E-5,7.491161E-5,1.059410E-4
22.003889,7.397133E-5,7.397133E-5,1.046113E-4
22.130919,7.304284E-5,7.304284E-5,1.032982E-4
22.258682,7.212601E-5,7.212601E-5,1.020016E-4
22.387183,7.122070E-5,7.122070E-5,1.007213E-4
22.516425,6.902819E-5,6.902819E-5,9.762060E-5
22.646414,6.690319E-5,6.690319E-5,9.461540E-5
22.777153,6.484360E-5,6.484360E-5,9.170270E-5
22.908647,6.284741E-5,6.284741E-5,8.887966E-5
23.040900,6.090394E-5,6.090394E-5,8.613118E-5
23.173917,5.902057E-5,5.902057E-5,8.346769E-5
23.307701,5.719544E-5,5.719544E-5,8.088657E-5
23.442258,5.542675E-5,5.542675E-5,7.838526E-5
23.577591,5.457167E-5,5.457167E-5,7.717600E-5
23.713706,5.372977E-5,5.372977E-5,7.598537E-5
23.850607,5.290087E-5,5.290087E-5,7.481313E-5
23.988298,5.208475E-5,5.208475E-5,7.365896E-5
24.126784,5.056310E-5,5.056310E-5,7.150702E-5
24.266069,4.908591E-5,4.908591E-5,6.941796E-5
24.406159,4.765187E-5,4.765187E-5,6.738992E-5
24.547057,4.625974E-5,4.625974E-5,6.542115E-5
24.688769,4.577832E-5,4.577832E-5,6.474032E-5
24.831298,4.530192E-5,4.530192E-5,6.406659E-5
24.974651,4.483048E-5,4.483048E-5,6.339987E-5
25.118831,4.436394E-5,4.436394E-5,6.274009E-5
25.263844,4.331286E-5,4.331286E-5,6.125363E-5
25.409693,4.228669E-5,4.228669E-5,5.980241E-5
25.556385,4.128482E-5,4.128482E-5,5.838555E-5
25.703924,4.030669E-5,4.030669E-5,5.700227E-5
25.852314,3.981817E-5,3.981817E-5,5.631140E-5
26.001561,3.933556E-5,3.933556E-5,5.562888E-5
26.151669,3.885880E-5,3.885880E-5,5.495464E-5
26.302645,3.838782E-5,3.838782E-5,5.428858E-5
26.454491,3.747650E-5,3.747650E-5,5.299977E-5
26.607215,3.658682E-5,3.658682E-5,5.174158E-5
26.760820,3.571825E-5,3.571825E-5,5.051323E-5
26.915312,3.487030E-5,3.487030E-5,4.931405E-5
27.070695,3.502586E-5,3.502586E-5,4.953405E-5
27.226976,3.518211E-5,3.518211E-5,4.975502E-5
27.384159,3.533906E-5,3.533906E-5,4.997698E-5
27.542250,3.549672E-5,3.549672E-5,5.019994E-5
27.701253,3.499982E-5,3.499982E-5,4.949722E-5
27.861174,3.450987E-5,3.450987E-5,4.880433E-5
28.022018,3.402678E-5,3.402678E-5,4.812113E-5
28.183791,3.355047E-5,3.355047E-5,4.744753E-5
28.346497,3.295965E-5,3.295965E-5,4.661198E-5
28.510144,3.237924E-5,3.237924E-5,4.579116E-5
28.674734,3.180905E-5,3.180905E-5,4.498479E-5
28.840275,3.124890E-5,3.124890E-5,4.419262E-5
29.006772,3.170813E-5,3.170813E-5,4.484207E-5
29.174230,3.217411E-5,3.217411E-5,4.550106E-5
29.342654,3.264694E-5,3.264694E-5,4.616975E-5
29.512051,3.312671E-5,3.312671E-5,4.684824E-5
29.682426,3.367842E-5,3.367842E-5,4.762848E-5
29.853785,3.423932E-5,3.423932E-5,4.842171E-5
30.026132,3.480956E-5,3.480956E-5,4.922815E-5
30.199475,3.538928E-5,3.538928E-5,5.004800E-5
30.373818,3.616382E-5,3.616382E-5,5.114336E-5
30.549168,3.695532E-5,3.695532E-5,5.226271E-5
30.725531,3.776413E-5,3.776413E-5,5.340654E-5
30.902911,3.859067E-5,3.859067E-5,5.457545E-5
31.081315,3.889586E-5,3.889586E-5,5.500705E-5
31.260750,3.920348E-5,3.920348E-5,5.544209E-5
31.441220,3.951352E-5,3.951352E-5,5.588056E-5
31.622732,3.982603E-5,3.982603E-5,5.632251E-5
31.805292,4.059610E-5,4.059610E-5,5.741156E-5
31.988906,4.138107E-5,4.138107E-5,5.852167E-5
32.173580,4.218121E-5,4.218121E-5,5.965324E-5
32.359320,4.299681E-5,4.299681E-5,6.080667E-5
32.546132,4.305539E-5,4.305539E-5,6.088952E-5
32.734023,4.311405E-5,4.311405E-5,6.097247E-5
32.922998,4.317279E-5,4.317279E-5,6.105555E-5
33.113065,4.323158E-5,4.323158E-5,6.113869E-5
33.304228,4.344156E-5,4.344156E-5,6.143564E-5
33.496496,4.365255E-5,4.365255E-5,6.173403E-5
33.689873,4.386457E-5,4.386457E-5,6.203387E-5
33.884367,4.407763E-5,4.407763E-5,6.233518E-5
34.079983,4.489134E-5,4.489134E-5,6.348594E-5
34.276729,4.572007E-5,4.572007E-5,6.465794E-5
34.474611,4.656409E-5,4.656409E-5,6.585157E-5
34.673635,4.742371E-5,4.742371E-5,6.706725E-5
34.873808,4.799452E-5,4.799452E-5,6.787450E-5
35.075136,4.857219E-5,4.857219E-5,6.869145E-5
35.277627,4.915682E-5,4.915682E-5,6.951824E-5
35.481287,4.974850E-5,4.974850E-5,7.035500E-5
35.686123,5.056291E-5,5.056291E-5,7.150675E-5
35.892141,5.139066E-5,5.139066E-5,7.267737E-5
36.099348,5.223195E-5,5.223195E-5,7.386713E-5
36.307752,5.308699E-5,5.308699E-5,7.507634E-5
36.517359,5.482089E-5,5.482089E-5,7.752845E-5
36.728176,5.661142E-5,5.661142E-5,8.006064E-5
36.940210,5.846043E-5,5.846043E-5,8.267553E-5
37.153468,6.036985E-5,6.036985E-5,8.537586E-5
37.367957,6.271465E-5,6.271465E-5,8.869191E-5
37.583685,6.515052E-5,6.515052E-5,9.213675E-5
37.800658,6.768100E-5,6.768100E-5,9.571539E-5
38.018883,7.030974E-5,7.030974E-5,9.943299E-5
38.238368,7.227795E-5,7.227795E-5,1.022165E-4
38.459121,7.430126E-5,7.430126E-5,1.050778E-4
38.681148,7.638121E-5,7.638121E-5,1.080193E-4
38.904456,7.851935E-5,7.851935E-5,1.110431E-4
39.129054,8.100614E-5,8.100614E-5,1.145600E-4
