Hz,real,imaginary,V^2 (rms)
9.999990,5.159819E-7,5.159819E-7,7.297086E-7
10.057721,5.370994E-7,5.370994E-7,7.595733E-7
10.115785,5.590811E-7,5.590811E-7,7.906601E-7
10.174184,5.819624E-7,5.819624E-7,8.230191E-7
10.232920,6.057802E-7,6.057802E-7,8.567026E-7
10.291995,6.213984E-7,6.213984E-7,8.787900E-7
10.351412,6.374192E-7,6.374192E-7,9.014469E-7
10.411171,6.538531E-7,6.538531E-7,9.246879E-7
10.471275,6.707103E-7,6.707103E-7,9.485276E-7
10.531727,6.931621E-7,6.931621E-7,9.802792E-7
10.592527,7.163654E-7,7.163654E-7,1.013094E-6
10.653678,7.403455E-7,7.403455E-7,1.047007E-6
10.715183,7.651283E-7,7.651283E-7,1.082055E-6
10.777042,7.954879E-7,7.954879E-7,1.124990E-6
10.839258,8.270522E-7,8.270522E-7,1.169628E-6
10.901834,8.598688E-7,8.598688E-7,1.216038E-6
10.964771,8.939874E-7,8.939874E-7,1.264289E-6
11.028071,9.172309E-7,9.172309E-7,1.297160E-6
11.091737,9.410787E-7,9.410787E-7,1.330886E-6
11.155770,9.655466E-7,9.655466E-7,1.365489E-6
11.220173,9.906507E-7,9.906507E-7,1.400992E-6
11.284948,1.026036E-6,1.026036E-6,1.451034E-6
11.350097,1.062686E-6,1.062686E-6,1.502865E-6
11.415622,1.100644E-6,1.100644E-6,1.556546E-6
11.481525,1.139958E-6,1.139958E-6,1.612144E-6
11.547808,1.178659E-6,1.178659E-6,1.666876E-6
11.614474,1.218673E-6,1.218673E-6,1.723464E-6
11.681525,1.260046E-6,1.260046E-6,1.781974E-6
11.748964,1.302822E-6,1.302822E-6,1.842469E-6
11.816791,1.347894E-6,1.347894E-6,1.906210E-6
11.885010,1.394524E-6,1.394524E-6,1.972155E-6
11.953623,1.442768E-6,1.442768E-6,2.040382E-6
12.022632,1.492681E-6,1.492681E-6,2.110970E-6
12.092039,1.553760E-6,1.553760E-6,2.197348E-6
12.161847,1.617338E-6,1.617338E-6,2.287261E-6
12.232059,1.683517E-6,1.683517E-6,2.380853E-6
12.302675,1.752405E-6,1.752405E-6,2.478275E-6
12.373699,1.816649E-6,1.816649E-6,2.569130E-6
12.445133,1.883249E-6,1.883249E-6,2.663316E-6
12.516980,1.952290E-6,1.952290E-6,2.760955E-6
12.589241,2.023863E-6,2.023863E-6,2.862175E-6
12.661919,2.119803E-6,2.119803E-6,2.997854E-6
12.735017,2.220291E-6,2.220291E-6,3.139966E-6
12.808537,2.325543E-6,2.325543E-6,3.288814E-6
12.882482,2.435785E-6,2.435785E-6,3.444720E-6
12.956853,2.527699E-6,2.527699E-6,3.574706E-6
13.031654,2.623080E-6,2.623080E-6,3.709595E-6
13.106887,2.722062E-6,2.722062E-6,3.849577E-6
13.182553,2.824778E-6,2.824778E-6,3.994839E-6
13.258657,2.950353E-6,2.950353E-6,4.172429E-6
13.335200,3.081510E-6,3.081510E-6,4.357913E-6
13.412185,3.218498E-6,3.218498E-6,4.551644E-6
13.489614,3.361577E-6,3.361577E-6,4.753988E-6
13.567491,3.504668E-6,3.504668E-6,4.956349E-6
13.645817,3.653850E-6,3.653850E-6,5.167324E-6
13.724595,3.809383E-6,3.809383E-6,5.387281E-6
13.803828,3.971538E-6,3.971538E-6,5.616603E-6
13.883518,4.185743E-6,4.185743E-6,5.919535E-6
13.963668,4.411501E-6,4.411501E-6,6.238805E-6
14.044282,4.649436E-6,4.649436E-6,6.575295E-6
14.125360,4.900204E-6,4.900204E-6,6.929935E-6
14.206907,5.084087E-6,5.084087E-6,7.189985E-6
14.288924,5.274871E-6,5.274871E-6,7.459794E-6
14.371415,5.472814E-6,5.472814E-6,7.739728E-6
14.454382,5.678185E-6,5.678185E-6,8.030166E-6
14.537828,6.003155E-6,6.003155E-6,8.489743E-6
14.621756,6.346723E-6,6.346723E-6,8.975622E-6
14.706168,6.709954E-6,6.709954E-6,9.489308E-6
14.791067,7.093970E-6,7.093970E-6,1.003239E-5
14.876457,7.428536E-6,7.428536E-6,1.050554E-5
14.962340,7.778881E-6,7.778881E-6,1.100100E-5
15.048718,8.145749E-6,8.145749E-6,1.151983E-5
15.135596,8.529920E-6,8.529920E-6,1.206313E-5
15.222974,9.015879E-6,9.015879E-6,1.275038E-5
15.310857,9.529524E-6,9.529524E-6,1.347678E-5
15.399248,1.007243E-5,1.007243E-5,1.424457E-5
15.488149,1.064627E-5,1.064627E-5,1.505610E-5
15.577563,1.127932E-5,1.127932E-5,1.595137E-5
15.667493,1.195001E-5,1.195001E-5,1.689987E-5
15.757942,1.266059E-5,1.266059E-5,1.790478E-5
15.848914,1.341342E-5,1.341342E-5,1.896944E-5
15.940411,1.423800E-5,1.423800E-5,2.013557E-5
16.032436,1.511328E-5,1.511328E-5,2.137341E-5
16.124992,1.604236E-5,1.604236E-5,2.268732E-5
16.218082,1.702856E-5,1.702856E-5,2.408202E-5
16.311710,1.822110E-5,1.822110E-5,2.576853E-5
16.405879,1.949715E-5,1.949715E-5,2.757313E-5
16.500591,2.086257E-5,2.086257E-5,2.950413E-5
16.595850,2.232363E-5,2.232363E-5,3.157038E-5
16.691659,2.350346E-5,2.350346E-5,3.323891E-5
16.788021,2.474565E-5,2.474565E-5,3.499563E-5
16.884939,2.605349E-5,2.605349E-5,3.684520E-5
16.982417,2.743045E-5,2.743045E-5,3.879251E-5
17.080457,2.960481E-5,2.960481E-5,4.186752E-5
17.179064,3.195153E-5,3.195153E-5,4.518629E-5
17.278240,3.448427E-5,3.448427E-5,4.876812E-5
17.377988,3.721780E-5,3.721780E-5,5.263392E-5
17.478312,3.940990E-5,3.940990E-5,5.573402E-5
17.579215,4.173111E-5,4.173111E-5,5.901670E-5
17.680701,4.418904E-5,4.418904E-5,6.249274E-5
17.782773,4.679171E-5,4.679171E-5,6.617347E-5
17.885434,5.032516E-5,5.032516E-5,7.117052E-5
17.988688,5.412545E-5,5.412545E-5,7.654495E-5
18.092538,5.821271E-5,5.821271E-5,8.232520E-5
18.196987,6.260864E-5,6.260864E-5,8.854199E-5
18.302039,6.553154E-5,6.553154E-5,9.267559E-5
18.407698,6.859089E-5,6.859089E-5,9.700217E-5
18.513967,7.179306E-5,7.179306E-5,1.015307E-4
18.620849,7.514473E-5,7.514473E-5,1.062707E-4
18.728348,7.825816E-5,7.825816E-5,1.106738E-4
18.836468,8.150059E-5,8.150059E-5,1.152592E-4
18.945212,8.487735E-5,8.487735E-5,1.200347E-4
19.054584,8.839402E-5,8.839402E-5,1.250080E-4
19.164587,8.967121E-5,8.967121E-5,1.268142E-4
19.275226,9.096686E-5,9.096686E-5,1.286466E-4
19.386503,9.228123E-5,9.228123E-5,1.305054E-4
19.498422,9.361458E-5,9.361458E-5,1.323910E-4
19.610988,9.281178E-5,9.281178E-5,1.312557E-4
19.724203,9.201586E-5,9.201586E-5,1.301301E-4
19.838072,9.122677E-5,9.122677E-5,1.290141E-4
19.952599,9.044447E-5,9.044447E-5,1.279078E-4
20.067786,9.093195E-5,9.093195E-5,1.285972E-4
20.183639,9.142204E-5,9.142204E-5,1.292903E-4
20.300160,9.191478E-5,9.191478E-5,1.299871E-4
20.417354,9.241020E-5,9.241020E-5,1.306878E-4
20.535225,9.057838E-5,9.057838E-5,1.280972E-4
20.653776,8.878288E-5,8.878288E-5,1.255580E-4
20.773011,8.702295E-5,8.702295E-5,1.230690E-4
20.892935,8.529791E-5,8.529791E-5,1.206295E-4
21.013551,8.391973E-5,8.391973E-5,1.186804E-4
21.134864,8.256381E-5,8.256381E-5,1.167629E-4
21.256877,8.122981E-5,8.122981E-5,1.148763E-4
21.379594,7.991736E-5,7.991736E-5,1.130202E-4
21.503020,7.686815E-5,7.686815E-5,1.087080E-4
21.627158,7.393527E-5,7.393527E-5,1.045603E-4
21.752013,7.111429E-5,7.111429E-5,1.005708E-4
21.877589,6.840096E-5,6.840096E-5,9.673357E-5
22.003889,6.681935E-5,6.681935E-5,9.449683E-5
22.130919,6.527432E-5,6.527432E-5,9.231183E-5
22.258682,6.376501E-5,6.376501E-5,9.017734E-5
22.387183,6.229061E-5,6.229061E-5,8.809223E-5
22.516425,6.028709E-5,6.028709E-5,8.525882E-5
22.646414,5.834802E-5,5.834802E-5,8.251656E-5
