Hz,real,imaginary,V^2 (rms)
9.999990,5.089689E-7,5.089689E-7,7.197907E-7
10.057721,5.271145E-7,5.271145E-7,7.454525E-7
10.115785,5.459070E-7,5.459070E-7,7.720291E-7
10.174184,5.653695E-7,5.653695E-7,7.995532E-7
10.232920,5.855261E-7,5.855261E-7,8.280590E-7
10.291995,6.022093E-7,6.022093E-7,8.516526E-7
10.351412,6.193678E-7,6.193678E-7,8.759183E-7
10.411171,6.370153E-7,6.370153E-7,9.008757E-7
10.471275,6.551656E-7,6.551656E-7,9.265441E-7
10.531727,6.693847E-7,6.693847E-7,9.466529E-7
10.592527,6.839124E-7,6.839124E-7,9.671982E-7
10.653678,6.987553E-7,6.987553E-7,9.881892E-7
10.715183,7.139205E-7,7.139205E-7,1.009636E-6
10.777042,7.398197E-7,7.398197E-7,1.046263E-6
10.839258,7.666586E-7,7.666586E-7,1.084219E-6
10.901834,7.944710E-7,7.944710E-7,1.123552E-6
10.964771,8.232925E-7,8.232925E-7,1.164311E-6
11.028071,8.469848E-7,8.469848E-7,1.197817E-6
11.091737,8.713590E-7,8.713590E-7,1.232288E-6
11.155770,8.964346E-7,8.964346E-7,1.267750E-6
11.220173,9.222317E-7,9.222317E-7,1.304233E-6
11.284948,9.560738E-7,9.560738E-7,1.352093E-6
11.350097,9.911577E-7,9.911577E-7,1.401709E-6
11.415622,1.027529E-6,1.027529E-6,1.453145E-6
11.481525,1.065235E-6,1.065235E-6,1.506470E-6
11.547808,1.100493E-6,1.100493E-6,1.556332E-6
11.614474,1.136917E-6,1.136917E-6,1.607843E-6
11.681525,1.174546E-6,1.174546E-6,1.661059E-6
11.748964,1.213421E-6,1.213421E-6,1.716036E-6
11.816791,1.263089E-6,1.263089E-6,1.786278E-6
11.885010,1.314790E-6,1.314790E-6,1.859394E-6
11.953623,1.368607E-6,1.368607E-6,1.935503E-6
12.022632,1.424627E-6,1.424627E-6,2.014727E-6
12.092039,1.468491E-6,1.468491E-6,2.076760E-6
12.161847,1.513705E-6,1.513705E-6,2.140702E-6
12.232059,1.560312E-6,1.560312E-6,2.206614E-6
12.302675,1.608354E-6,1.608354E-6,2.274556E-6
12.373699,1.669945E-6,1.669945E-6,2.361659E-6
12.445133,1.733894E-6,1.733894E-6,2.452096E-6
12.516980,1.800292E-6,1.800292E-6,2.545997E-6
12.589241,1.869233E-6,1.869233E-6,2.643495E-6
12.661919,1.934318E-6,1.934318E-6,2.735539E-6
12.735017,2.001670E-6,2.001670E-6,2.830789E-6
12.808537,2.071368E-6,2.071368E-6,2.929357E-6
12.882482,2.143492E-6,2.143492E-6,3.031355E-6
12.956853,2.230617E-6,2.230617E-6,3.154569E-6
13.031654,2.321282E-6,2.321282E-6,3.282788E-6
13.106887,2.415633E-6,2.415633E-6,3.416221E-6
13.182553,2.513820E-6,2.513820E-6,3.555078E-6
13.258657,2.623141E-6,2.623141E-6,3.709682E-6
13.335200,2.737215E-6,2.737215E-6,3.871007E-6
13.412185,2.856251E-6,2.856251E-6,4.039349E-6
13.489614,2.980464E-6,2.980464E-6,4.215013E-6
13.567491,3.085214E-6,3.085214E-6,4.363151E-6
13.645817,3.193645E-6,3.193645E-6,4.516496E-6
13.724595,3.305887E-6,3.305887E-6,4.675230E-6
13.803828,3.422076E-6,3.422076E-6,4.839546E-6
