Hz,real,imaginary,V^2 (rms)
9.999990,5.195382E-7,5.195382E-7,7.347380E-7
10.057721,5.400207E-7,5.400207E-7,7.637046E-7
10.115785,5.613107E-7,5.613107E-7,7.938132E-7
10.174184,5.834401E-7,5.834401E-7,8.251089E-7
10.232920,6.064419E-7,6.064419E-7,8.576384E-7
10.291995,6.276576E-7,6.276576E-7,8.876419E-7
10.351412,6.496157E-7,6.496157E-7,9.186953E-7
10.411171,6.723419E-7,6.723419E-7,9.508350E-7
10.471275,6.958631E-7,6.958631E-7,9.840990E-7
10.531727,7.047428E-7,7.047428E-7,9.966568E-7
10.592527,7.137357E-7,7.137357E-7,1.009375E-6
10.653678,7.228434E-7,7.228434E-7,1.022255E-6
10.715183,7.320675E-7,7.320675E-7,1.035300E-6
10.777042,7.760409E-7,7.760409E-7,1.097488E-6
10.839258,8.226557E-7,8.226557E-7,1.163411E-6
10.901834,8.720705E-7,8.720705E-7,1.233294E-6
10.964771,9.244537E-7,9.244537E-7,1.307375E-6
11.028071,9.487062E-7,9.487062E-7,1.341673E-6
11.091737,9.735950E-7,9.735950E-7,1.376871E-6
11.155770,9.991365E-7,9.991365E-7,1.412992E-6
11.220173,1.025348E-6,1.025348E-6,1.450061E-6
11.284948,1.065277E-6,1.065277E-6,1.506529E-6
11.350097,1.106762E-6,1.106762E-6,1.565198E-6
11.415622,1.149861E-6,1.149861E-6,1.626149E-6
11.481525,1.194639E-6,1.194639E-6,1.689475E-6
11.547808,1.250714E-6,1.250714E-6,1.768777E-6
11.614474,1.309421E-6,1.309421E-6,1.851801E-6
11.681525,1.370884E-6,1.370884E-6,1.938723E-6
11.748964,1.435231E-6,1.435231E-6,2.029723E-6
11.816791,1.475459E-6,1.475459E-6,2.086614E-6
11.885010,1.516814E-6,1.516814E-6,2.145099E-6
11.953623,1.559328E-6,1.559328E-6,2.205223E-6
12.022632,1.603035E-6,1.603035E-6,2.267034E-6
12.092039,1.670035E-6,1.670035E-6,2.361786E-6
12.161847,1.739835E-6,1.739835E-6,2.460498E-6
12.232059,1.812553E-6,1.812553E-6,2.563337E-6
12.302675,1.888310E-6,1.888310E-6,2.670474E-6
12.373699,1.982136E-6,1.982136E-6,2.803164E-6
12.445133,2.080624E-6,2.080624E-6,2.942447E-6
12.516980,2.184005E-6,2.184005E-6,3.088649E-6
12.589241,2.292523E-6,2.292523E-6,3.242117E-6
12.661919,2.394241E-6,2.394241E-6,3.385968E-6
12.735017,2.500471E-6,2.500471E-6,3.536200E-6
12.808537,2.611415E-6,2.611415E-6,3.693099E-6
12.882482,2.727282E-6,2.727282E-6,3.856959E-6
12.956853,2.853266E-6,2.853266E-6,4.035127E-6
13.031654,2.985070E-6,2.985070E-6,4.221526E-6
13.106887,3.122962E-6,3.122962E-6,4.416535E-6
13.182553,3.267224E-6,3.267224E-6,4.620552E-6
13.258657,3.456376E-6,3.456376E-6,4.888054E-6
13.335200,3.656478E-6,3.656478E-6,5.171041E-6
13.412185,3.868166E-6,3.868166E-6,5.470413E-6
13.489614,4.092108E-6,4.092108E-6,5.787115E-6
13.567491,3.962941E-6,3.962941E-6,5.604445E-6
13.645817,3.837852E-6,3.837852E-6,5.427542E-6
13.724595,3.716711E-6,3.716711E-6,5.256223E-6
13.803828,3.599393E-6,3.599393E-6,5.090310E-6
13.883518,3.765696E-6,3.765696E-6,5.325498E-6
13.963668,3.939682E-6,3.939682E-6,5.571552E-6
14.044282,4.121706E-6,4.121706E-6,5.828973E-6
14.125360,4.312143E-6,4.312143E-6,6.098291E-6
14.206907,4.780573E-6,4.780573E-6,6.760751E-6
14.288924,5.299890E-6,5.299890E-6,7.495176E-6
14.371415,5.875620E-6,5.875620E-6,8.309381E-6
14.454382,6.513893E-6,6.513893E-6,9.212036E-6
14.537828,7.072374E-6,7.072374E-6,1.000185E-5
14.621756,7.678738E-6,7.678738E-6,1.085938E-5
14.706168,8.337091E-6,8.337091E-6,1.179043E-5
14.791067,9.051888E-6,9.051888E-6,1.280130E-5
14.876457,9.432728E-6,9.432728E-6,1.333989E-5
14.962340,9.829591E-6,9.829591E-6,1.390114E-5
15.048718,1.024315E-5,1.024315E-5,1.448600E-5
15.135596,1.067411E-5,1.067411E-5,1.509547E-5
15.222974,1.084900E-5,1.084900E-5,1.534280E-5
15.310857,1.102676E-5,1.102676E-5,1.559419E-5
15.399248,1.120743E-5,1.120743E-5,1.584970E-5
15.488149,1.139106E-5,1.139106E-5,1.610939E-5
15.577563,1.239022E-5,1.239022E-5,1.752242E-5
15.667493,1.347702E-5,1.347702E-5,1.905938E-5
15.757942,1.465914E-5,1.465914E-5,2.073115E-5
15.848914,1.594497E-5,1.594497E-5,2.254959E-5
15.940411,1.656826E-5,1.656826E-5,2.343106E-5
16.032436,1.721593E-5,1.721593E-5,2.434700E-5
16.124992,1.788891E-5,1.788891E-5,2.529874E-5
16.218082,1.858821E-5,1.858821E-5,2.628770E-5
16.311710,2.010585E-5,2.010585E-5,2.843397E-5
16.405879,2.174740E-5,2.174740E-5,3.075547E-5
16.500591,2.352298E-5,2.352298E-5,3.326652E-5
16.595850,2.544352E-5,2.544352E-5,3.598257E-5
16.691659,2.729897E-5,2.729897E-5,3.860657E-5
16.788021,2.928973E-5,2.928973E-5,4.142193E-5
16.884939,3.142567E-5,3.142567E-5,4.444261E-5
16.982417,3.371738E-5,3.371738E-5,4.768358E-5
17.080457,3.677795E-5,3.677795E-5,5.201188E-5
17.179064,4.011633E-5,4.011633E-5,5.673306E-5
17.278240,4.375775E-5,4.375775E-5,6.188280E-5
17.377988,4.772971E-5,4.772971E-5,6.750000E-5
17.478312,5.056861E-5,5.056861E-5,7.151481E-5
17.579215,5.357637E-5,5.357637E-5,7.576843E-5
17.680701,5.676303E-5,5.676303E-5,8.027505E-5
17.782773,6.013922E-5,6.013922E-5,8.504970E-5
17.885434,6.489426E-5,6.489426E-5,9.177434E-5
17.988688,7.002527E-5,7.002527E-5,9.903069E-5
18.092538,7.556197E-5,7.556197E-5,1.068608E-4
18.196987,8.153649E-5,8.153649E-5,1.153100E-4
18.302039,8.441709E-5,8.441709E-5,1.193838E-4
18.407698,8.739944E-5,8.739944E-5,1.236015E-4
18.513967,9.048717E-5,9.048717E-5,1.279682E-4
18.620849,9.368401E-5,9.368401E-5,1.324892E-4
18.728348,9.700411E-5,9.700411E-5,1.371845E-4
18.836468,1.004419E-4,1.004419E-4,1.420463E-4
18.945212,1.040015E-4,1.040015E-4,1.470803E-4
19.054584,1.076873E-4,1.076873E-4,1.522928E-4
19.164587,1.083829E-4,1.083829E-4,1.532766E-4
19.275226,1.090829E-4,1.090829E-4,1.542665E-4
19.386503,1.097875E-4,1.097875E-4,1.552630E-4
19.498422,1.104967E-4,1.104967E-4,1.562659E-4
19.610988,1.075030E-4,1.075030E-4,1.520322E-4
19.724203,1.045903E-4,1.045903E-4,1.479130E-4
19.838072,1.017566E-4,1.017566E-4,1.439056E-4
19.952599,9.899965E-5,9.899965E-5,1.400066E-4
20.067786,9.878087E-5,9.878087E-5,1.396972E-4
20.183639,9.856258E-5,9.856258E-5,1.393885E-4
20.300160,9.834477E-5,9.834477E-5,1.390805E-4
20.417354,9.812745E-5,9.812745E-5,1.387732E-4
20.535225,9.554084E-5,9.554084E-5,1.351152E-4
20.653776,9.302243E-5,9.302243E-5,1.315536E-4
20.773011,9.057041E-5,9.057041E-5,1.280859E-4
20.892935,8.818302E-5,8.818302E-5,1.247096E-4
21.013551,8.669673E-5,8.669673E-5,1.226077E-4
21.134864,8.523548E-5,8.523548E-5,1.205412E-4
21.256877,8.379887E-5,8.379887E-5,1.185095E-4
21.379594,8.238647E-5,8.238647E-5,1.165121E-4
21.503020,7.909831E-5,7.909831E-5,1.118619E-4
21.627158,7.594140E-5,7.594140E-5,1.073974E-4
21.752013,7.291048E-5,7.291048E-5,1.031110E-4
21.877589,7.000054E-5,7.000054E-5,9.899571E-5
22.003889,6.860675E-5,6.860675E-5,9.702460E-5
22.130919,6.724070E-5,6.724070E-5,9.509271E-5
