Hz,real,imaginary,unitless (peak only)
9.999990,4.494998E-1,-1.962136E-1,4.904588E-1
10.057721,3.894653E-1,-1.063743E-1,4.037310E-1
10.115785,3.298823E-1,-4.033551E-2,3.323391E-1
10.174184,2.734973E-1,6.370657E-3,2.735715E-1
10.232920,2.220161E-1,3.770988E-2,2.251959E-1
10.291995,3.149186E-1,7.092063E-2,3.228056E-1
10.351412,4.453658E-1,1.255483E-1,4.627235E-1
10.411171,6.279205E-1,2.136975E-1,6.632879E-1
10.471275,8.825045E-1,3.538062E-1,9.507855E-1
10.531727,7.979699E-1,1.935371E-1,8.211045E-1
10.592527,7.059413E-1,6.697677E-2,7.091114E-1
10.653678,6.116654E-1,-2.984658E-2,6.123932E-1
10.715183,5.191379E-1,-1.009750E-1,5.288668E-1
10.777042,4.121638E-1,-5.760401E-2,4.161697E-1
10.839258,3.262878E-1,-2.800344E-2,3.274873E-1
10.901834,2.575673E-1,-8.340025E-3,2.577023E-1
10.964771,2.027439E-1,4.233333E-3,2.027881E-1
11.028071,2.637382E-1,1.744078E-2,2.643142E-1
11.091737,3.423801E-1,3.822651E-2,3.445075E-1
11.155770,4.435547E-1,6.991802E-2,4.490315E-1
11.220173,5.734263E-1,1.171354E-1,5.852678E-1
11.284948,4.689310E-1,4.784282E-2,4.713653E-1
11.350097,3.796293E-1,7.009612E-4,3.796299E-1
11.415622,3.042813E-1,-2.990944E-2,3.057477E-1
11.481525,2.414424E-1,-4.839195E-2,2.462442E-1
11.547808,1.651388E-1,2.456733E-2,1.669562E-1
11.614474,9.970860E-2,5.359098E-2,1.131980E-1
11.681525,5.130344E-2,5.708276E-2,7.674949E-2
11.748964,1.962179E-2,4.819576E-2,5.203697E-2
11.816791,3.708046E-2,9.522499E-2,1.021898E-1
11.885010,6.994854E-2,1.880944E-1,2.006796E-1
11.953623,1.316967E-1,3.714369E-1,3.940931E-1
12.022632,2.474340E-1,7.332974E-1,7.739177E-1
12.092039,3.501448E-1,6.788951E-1,7.638717E-1
12.161847,4.423088E-1,6.105836E-1,7.539558E-1
12.232059,5.221194E-1,5.302626E-1,7.441687E-1
12.302675,5.880953E-1,4.400535E-1,7.345088E-1
12.373699,4.686536E-1,1.448040E-1,4.905144E-1
12.445133,3.272684E-1,-1.409598E-2,3.275718E-1
12.516980,2.026806E-1,-8.231090E-2,2.187567E-1
12.589241,1.090092E-1,-9.725656E-2,1.460885E-1
12.661919,2.071813E-1,-2.828101E-2,2.091026E-1
12.735017,2.685637E-1,1.321079E-1,2.992974E-1
12.808537,2.131701E-1,3.715946E-1,4.283971E-1
12.882482,-4.410229E-2,6.115948E-1,6.131829E-1
12.956853,1.003655E-1,5.678459E-1,5.766474E-1
13.031654,2.220484E-1,4.947444E-1,5.422891E-1
13.106887,3.162068E-1,4.001132E-1,5.099778E-1
13.182553,3.803168E-1,2.921762E-1,4.795913E-1
13.258657,4.089573E-1,1.709423E-1,4.432464E-1
13.335200,4.058302E-1,5.585424E-2,4.096558E-1
13.412185,3.757790E-1,-4.621967E-2,3.786108E-1
13.489614,3.247573E-1,-1.302903E-1,3.499184E-1
13.567491,3.603607E-1,8.903350E-2,3.711964E-1
