Hz,real,imaginary,unitless (peak only)
9.999990,2.054677E-1,1.306639E-1,2.434954E-1
10.057721,2.219904E-1,-4.509454E-2,2.265243E-1
10.115785,1.196076E-1,-1.735043E-1,2.107361E-1
10.174184,-3.186908E-2,-1.934406E-1,1.960482E-1
10.232920,-1.462153E-1,-1.090187E-1,1.823842E-1
10.291995,-5.430748E-2,-2.090576E-1,2.159963E-1
10.351412,1.047275E-1,-2.333822E-1,2.558029E-1
10.411171,2.696792E-1,-1.380184E-1,3.029455E-1
10.471275,3.514145E-1,7.230611E-2,3.587761E-1
10.531727,3.252890E-1,1.188182E-2,3.255059E-1
10.592527,2.928326E-1,-3.825548E-2,2.953209E-1
10.653678,2.562577E-1,-7.823722E-2,2.679348E-1
10.715183,2.175241E-1,-1.085137E-1,2.430884E-1
10.777042,1.813808E-1,-7.726793E-2,1.971531E-1
10.839258,1.506002E-1,-5.373047E-2,1.598980E-1
10.901834,1.245359E-1,-3.617252E-2,1.296829E-1
10.964771,1.025807E-1,-2.322591E-2,1.051772E-1
11.028071,1.453042E-1,-2.987604E-3,1.453349E-1
11.091737,1.975250E-1,3.625900E-2,2.008254E-1
11.155770,2.573296E-1,1.038712E-1,2.775027E-1
11.220173,3.195326E-1,2.119848E-1,3.834562E-1
11.284948,3.719291E-1,1.173000E-1,3.899879E-1
11.350097,3.965042E-1,1.001988E-2,3.966308E-1
11.415622,3.903448E-1,-1.017441E-1,4.033868E-1
11.481525,3.528859E-1,-2.092446E-1,4.102582E-1
11.547808,3.265454E-1,-1.574142E-1,3.625067E-1
11.614474,2.994218E-1,-1.137857E-1,3.203133E-1
11.681525,2.722315E-1,-7.743715E-2,2.830309E-1
11.748964,2.455350E-1,-4.750250E-2,2.500878E-1
11.816791,2.398512E-1,-4.287871E-2,2.436538E-1
11.885010,2.342502E-1,-3.845299E-2,2.373853E-1
11.953623,2.287327E-1,-3.421903E-2,2.312782E-1
12.022632,2.232990E-1,-3.017075E-2,2.253280E-1
12.092039,2.316686E-1,1.412301E-3,2.316729E-1
12.161847,2.356451E-1,3.476935E-2,2.381964E-1
12.232059,2.348942E-1,6.930040E-2,2.449037E-1
12.302675,2.291615E-1,1.043463E-1,2.517998E-1
12.373699,2.590591E-1,3.925688E-2,2.620166E-1
