Hz,real,imaginary,unitless (peak only)
9.999990,-8.487063E-3,1.061512E-2,1.359084E-2
10.028814,-8.765595E-3,1.060935E-2,1.376205E-2
10.057721,-9.047503E-3,1.059897E-2,1.393540E-2
10.086711,-9.332756E-3,1.058388E-2,1.411095E-2
10.115785,-9.621320E-3,1.056395E-2,1.428870E-2
10.144942,-9.221019E-3,1.086374E-2,1.424949E-2
10.174184,-8.811621E-3,1.114857E-2,1.421039E-2
10.203510,-8.393670E-3,1.141818E-2,1.417140E-2
10.232920,-7.967727E-3,1.167233E-2,1.413251E-2
10.262415,-7.882057E-3,1.133476E-2,1.380593E-2
10.291995,-7.795517E-3,1.100572E-2,1.348688E-2
10.321661,-7.708195E-3,1.068503E-2,1.317521E-2
10.351412,-7.620177E-3,1.037251E-2,1.287074E-2
10.381248,-7.150249E-3,9.756302E-3,1.209593E-2
10.411171,-6.709275E-3,9.176681E-3,1.136775E-2
10.441180,-6.295471E-3,8.631477E-3,1.068341E-2
10.471275,-5.907166E-3,8.118646E-3,1.004027E-2
10.501458,-5.240411E-3,8.523284E-3,1.000541E-2
10.531727,-4.546656E-3,8.873681E-3,9.970672E-3
10.562083,-3.830276E-3,9.168105E-3,9.936054E-3
10.592527,-3.095754E-3,9.405164E-3,9.901556E-3
10.623059,-3.554934E-3,8.288821E-3,9.018986E-3
10.653678,-3.883072E-3,7.239430E-3,8.215083E-3
10.684386,-4.097612E-3,6.261184E-3,7.482837E-3
10.715183,-4.214712E-3,5.356503E-3,6.815858E-3
10.746068,-4.642150E-3,5.454113E-3,7.162186E-3
10.777042,-5.094920E-3,5.539327E-3,7.526111E-3
10.808106,-5.573790E-3,5.610499E-3,7.908529E-3
10.839259,-6.079490E-3,5.665871E-3,8.310373E-3
10.870502,-6.571493E-3,5.842236E-3,8.792965E-3
10.901835,-7.096303E-3,6.016568E-3,9.303580E-3
10.933258,-7.655769E-3,6.187939E-3,9.843850E-3
10.964772,-8.251822E-3,6.355316E-3,1.041550E-2
10.996376,-8.106934E-3,5.882542E-3,1.001632E-2
11.028072,-7.954663E-3,5.432052E-3,9.632438E-3
11.059859,-7.795914E-3,5.003187E-3,9.263269E-3
11.091738,-7.631524E-3,4.595290E-3,8.908246E-3
11.123708,-7.747478E-3,4.043742E-3,8.739294E-3
11.155771,-7.828062E-3,3.496733E-3,8.573546E-3
11.187926,-7.874286E-3,2.956278E-3,8.410943E-3
11.220174,-7.887257E-3,2.424300E-3,8.251427E-3
11.252515,-8.496219E-3,2.415590E-3,8.832939E-3
11.284949,-9.147754E-3,2.392449E-3,9.455433E-3
11.317476,-9.844517E-3,2.352899E-3,1.012179E-2
11.350097,-1.058933E-2,2.294760E-3,1.083512E-2
11.382813,-1.052085E-2,2.834087E-3,1.089589E-2
11.415622,-1.042513E-2,3.372346E-3,1.095701E-2
11.448526,-1.030208E-2,3.908171E-3,1.101847E-2
11.481525,-1.015171E-2,4.440186E-3,1.108027E-2
11.514619,-1.035355E-2,3.481786E-3,1.092332E-2
11.547809,-1.046881E-2,2.523142E-3,1.076858E-2
11.581094,-1.049903E-2,1.571752E-3,1.061603E-2
11.614475,-1.044638E-2,6.348459E-4,1.046565E-2
11.647952,-1.089724E-2,9.619669E-4,1.093962E-2
11.681526,-1.135899E-2,1.316663E-3,1.143505E-2
11.715197,-1.183132E-2,1.700483E-3,1.195290E-2
11.748964,-1.231390E-2,2.115038E-3,1.249422E-2
11.782829,-1.278869E-2,2.023085E-3,1.294772E-2
11.816792,-1.327941E-2,1.921304E-3,1.341768E-2
11.850852,-1.378651E-2,1.809122E-3,1.390470E-2
11.885011,-1.431043E-2,1.685934E-3,1.440940E-2
11.919268,-1.458759E-2,1.752531E-3,1.469249E-2
11.953624,-1.487005E-2,1.821085E-3,1.498115E-2
11.988079,-1.515789E-2,1.891646E-3,1.527547E-2
12.022633,-1.545121E-2,1.964262E-3,1.557556E-2
12.057287,-1.501119E-2,1.913891E-3,1.513271E-2
12.092040,-1.458369E-2,1.864796E-3,1.470243E-2
12.126894,-1.416836E-2,1.816945E-3,1.428439E-2
12.161848,-1.376486E-2,1.770308E-3,1.387823E-2
12.196903,-1.468250E-2,2.175576E-3,1.484281E-2
12.232060,-1.565542E-2,2.627771E-3,1.587442E-2
12.267317,-1.668647E-2,3.131276E-3,1.697773E-2
12.302676,-1.777865E-2,3.690851E-3,1.815772E-2
12.338137,-1.788951E-2,4.346925E-3,1.841006E-2
12.373700,-1.797945E-2,5.015521E-3,1.866591E-2
12.409366,-1.804776E-2,5.696096E-3,1.892530E-2
