Hz,real,imaginary,unitless (peak only)
9.999990,-1.064677E+0,-1.075148E-1,1.070092E+0
10.057721,-7.188307E-1,-1.742601E-1,7.396514E-1
10.115785,-4.757169E-1,-1.872682E-1,5.112494E-1
10.174184,-8.964035E-1,-2.102763E-2,8.966501E-1
10.232920,-1.488685E+0,5.067824E-1,1.572581E+0
10.291995,-1.048012E+0,-1.012705E-1,1.052894E+0
10.351412,-6.114906E-1,-3.507506E-1,7.049445E-1
10.411171,-9.564828E-1,-3.336976E-2,9.570647E-1
10.471275,-1.169415E+0,5.663832E-1,1.299354E+0
10.531727,-1.012447E+0,1.304024E-1,1.020810E+0
10.592527,-7.868034E-1,-1.552757E-1,8.019789E-1
10.653678,-7.116314E-1,-5.941104E-2,7.141071E-1
10.715183,-6.356093E-1,1.796796E-2,6.358632E-1
10.777042,-6.758093E-1,9.961894E-4,6.758100E-1
10.839258,-7.180363E-1,-1.817978E-2,7.182664E-1
10.901834,-6.911157E-1,2.712023E-1,7.424228E-1
10.964771,-5.492014E-1,5.359732E-1,7.673913E-1
11.028071,-7.596304E-1,1.882174E-1,7.826009E-1
11.091737,-7.653669E-1,-2.262646E-1,7.981116E-1
11.155770,-8.650345E-1,6.004297E-2,8.671158E-1
11.220173,-8.578714E-1,3.893357E-1,9.420858E-1
11.284948,-7.855064E-1,1.805837E-1,8.059968E-1
11.350097,-6.893355E-1,1.785385E-2,6.895667E-1
11.415622,-7.242273E-1,-7.241298E-2,7.278385E-1
11.481525,-7.488350E-1,-1.715515E-1,7.682342E-1
11.547808,-6.493064E-1,-5.499024E-2,6.516308E-1
11.614474,-5.518521E-1,3.106163E-2,5.527256E-1
11.681525,-6.196426E-1,5.316436E-2,6.219191E-1
11.748964,-6.951567E-1,8.026271E-2,6.997749E-1
11.816791,-6.562983E-1,-7.369149E-3,6.563397E-1
11.885010,-6.097983E-1,-8.432196E-2,6.156006E-1
11.953623,-8.050453E-1,-4.930583E-2,8.065538E-1
12.022632,-1.056618E+0,1.592265E-2,1.056738E+0
12.092039,-8.409070E-1,-1.015493E-1,8.470164E-1
12.161847,-6.568891E-1,-1.715347E-1,6.789164E-1
12.232059,-7.282116E-1,-5.230459E-2,7.300876E-1
12.302675,-7.801947E-1,8.776687E-2,7.851158E-1
12.373699,-1.024052E+0,1.367842E-1,1.033147E+0
12.445133,-1.343541E+0,2.079350E-1,1.359536E+0
12.516980,-9.917160E-1,2.087096E-1,1.013440E+0
12.589241,-7.298046E-1,1.951632E-1,7.554492E-1
12.661919,-7.862884E-1,1.051704E-1,7.932908E-1
12.735017,-8.330194E-1,3.855890E-3,8.330283E-1
12.808537,-7.192236E-1,4.400117E-2,7.205683E-1
12.882482,-6.189875E-1,7.311542E-2,6.232908E-1
12.956853,-6.118850E-1,3.601832E-2,6.129442E-1
13.031654,-6.027690E-1,1.026516E-5,6.027690E-1
13.106887,-6.843823E-1,-6.825539E-3,6.844163E-1
13.182553,-7.769686E-1,-1.551249E-2,7.771234E-1
13.258657,-6.336759E-1,-7.817571E-2,6.384799E-1
13.335200,-5.112864E-1,-1.173083E-1,5.245713E-1
13.412185,-4.873502E-1,-2.045855E-1,5.285503E-1
13.489614,-4.485446E-1,-2.871025E-1,5.325600E-1
13.567491,-4.468389E-1,-1.830311E-1,4.828720E-1
13.645817,-4.283684E-1,-9.048210E-2,4.378202E-1
13.724595,-5.298110E-1,-1.879569E-1,5.621632E-1
13.803828,-6.423525E-1,-3.292536E-1,7.218204E-1
13.883518,-7.969030E-1,-1.762041E-1,8.161509E-1
13.963668,-9.221274E-1,3.546106E-2,9.228090E-1
14.044282,-6.166238E-1,-8.504836E-2,6.224614E-1
14.125360,-3.995255E-1,-1.291072E-1,4.198682E-1
14.206907,-5.092648E-1,-1.789742E-2,5.095792E-1
14.288924,-6.003927E-1,1.483910E-1,6.184588E-1
14.371415,-5.675234E-1,7.270797E-2,5.721619E-1
14.454382,-5.292889E-1,6.637472E-3,5.293305E-1
14.537828,-4.559157E-1,1.259259E-1,4.729867E-1
14.621756,-3.654174E-1,2.123562E-1,4.226405E-1
14.706168,-3.761331E-1,1.823870E-1,4.180205E-1
14.791067,-3.844830E-1,1.520350E-1,4.134511E-1
