Hz,real,imaginary,unitless (peak only)
9.999990,1.932926E+0,2.635110E-1,1.950805E+0
10.057721,1.914292E+0,1.478661E-1,1.919994E+0
10.115785,1.889341E+0,3.531212E-2,1.889671E+0
10.174184,1.858360E+0,-7.384194E-2,1.859826E+0
10.232920,1.821649E+0,-1.793090E-1,1.830453E+0
10.291995,1.809339E+0,-1.728295E-1,1.817575E+0
10.351412,1.797098E+0,-1.664309E-1,1.804788E+0
10.411171,1.784924E+0,-1.601124E-1,1.792091E+0
10.471275,1.772818E+0,-1.538732E-1,1.779483E+0
10.531727,1.816322E+0,-1.392159E-1,1.821649E+0
10.592527,1.860702E+0,-1.237631E-1,1.864813E+0
10.653678,1.905973E+0,-1.074870E-1,1.909001E+0
10.715183,1.952145E+0,-9.035890E-2,1.954235E+0
10.777042,1.934440E+0,-9.356929E-2,1.936702E+0
10.839258,1.916888E+0,-9.671442E-2,1.919326E+0
10.901834,1.899487E+0,-9.979515E-2,1.902107E+0
10.964771,1.882236E+0,-1.028123E-1,1.885042E+0
11.028071,1.891862E+0,-8.904921E-2,1.893957E+0
11.091737,1.901429E+0,-7.514848E-2,1.902913E+0
11.155770,1.910935E+0,-6.111000E-2,1.911912E+0
11.220173,1.920381E+0,-4.693361E-2,1.920954E+0
11.284948,1.921251E+0,-4.952385E-2,1.921889E+0
11.350097,1.922117E+0,-5.211652E-2,1.922823E+0
11.415622,1.922981E+0,-5.471160E-2,1.923759E+0
11.481525,1.923841E+0,-5.730910E-2,1.924694E+0
11.547808,1.934218E+0,-5.425819E-2,1.934979E+0
11.614474,1.944644E+0,-5.117286E-2,1.945317E+0
11.681525,1.955120E+0,-4.805287E-2,1.955710E+0
11.748964,1.965648E+0,-4.489797E-2,1.966161E+0
11.816791,1.990936E+0,-5.421426E-2,1.991674E+0
11.885010,2.016510E+0,-6.376372E-2,2.017518E+0
11.953623,2.042374E+0,-7.355063E-2,2.043698E+0
12.022632,2.068530E+0,-8.357941E-2,2.070218E+0
12.092039,2.072631E+0,-8.164988E-2,2.074239E+0
12.161847,2.076739E+0,-7.971253E-2,2.078268E+0
12.232059,2.080853E+0,-7.776721E-2,2.082306E+0
12.302675,2.084974E+0,-7.581399E-2,2.086352E+0
12.373699,2.095826E+0,-6.614642E-2,2.096870E+0
12.445133,2.106686E+0,-5.637795E-2,2.107440E+0
12.516980,2.117553E+0,-4.650798E-2,2.118064E+0
12.589241,2.128428E+0,-3.653600E-2,2.128742E+0
12.661919,2.137298E+0,-3.643247E-2,2.137608E+0
12.735017,2.146206E+0,-3.632743E-2,2.146513E+0
12.808537,2.155150E+0,-3.622089E-2,2.155454E+0
12.882482,2.164134E+0,-3.611288E-2,2.164435E+0
12.956853,2.168991E+0,-3.707815E-2,2.169308E+0
13.031654,2.173856E+0,-3.804756E-2,2.174189E+0
13.106887,2.178732E+0,-3.902116E-2,2.179081E+0
13.182553,2.183623E+0,-3.999897E-2,2.183989E+0
13.258657,2.204093E+0,-2.415849E-2,2.204225E+0
13.335200,2.224637E+0,-8.019691E-3,2.224651E+0
13.412185,2.245249E+0,8.420715E-3,2.245265E+0
13.489614,2.265931E+0,2.516604E-2,2.266071E+0
13.567491,2.304602E+0,4.922640E-2,2.305128E+0
13.645817,2.343686E+0,7.410340E-2,2.344857E+0
13.724595,2.383182E+0,9.981541E-2,2.385271E+0
13.803828,2.423089E+0,1.263810E-1,2.426383E+0
13.883518,2.461157E+0,1.134982E-1,2.463773E+0
13.963668,2.499733E+0,1.001841E-1,2.501740E+0
14.044282,2.538821E+0,8.642898E-2,2.540292E+0
14.125360,2.578425E+0,7.222299E-2,2.579436E+0
14.206907,2.657719E+0,8.046387E-2,2.658937E+0
14.288924,2.739438E+0,8.914374E-2,2.740888E+0
14.371415,2.823655E+0,9.828170E-2,2.825365E+0
14.454382,2.910446E+0,1.078978E-1,2.912445E+0
14.537828,2.861540E+0,2.378823E-1,2.871411E+0
14.621756,2.807497E+0,3.636890E-1,2.830956E+0
14.706168,2.748580E+0,4.851486E-1,2.791068E+0
14.791067,2.685063E+0,6.021064E-1,2.751744E+0
14.876457,2.963290E+0,7.793971E-1,3.064074E+0
14.962340,3.265664E+0,9.880143E-1,3.411852E+0
15.048718,3.593632E+0,1.232474E+0,3.799103E+0
15.135596,3.948620E+0,1.517860E+0,4.230307E+0
15.222974,4.754848E+0,1.303174E+0,4.930197E+0
15.310857,5.664962E+0,9.608835E-1,5.745876E+0
15.399248,6.680791E+0,4.585858E-1,6.696512E+0
15.488149,7.800685E+0,-2.415055E-1,7.804423E+0
15.577563,8.511499E+0,-3.763049E+0,9.306243E+0
15.667493,7.718631E+0,-7.972926E+0,1.109706E+1
15.757942,4.955687E+0,-1.226948E+1,1.323250E+1
15.848914,-2.301173E-2,-1.577883E+1,1.577885E+1
15.940411,3.163180E-1,-1.196980E+1,1.197398E+1
16.032436,4.931493E-1,-9.073218E+0,9.086610E+0
16.124992,5.660156E-1,-6.872220E+0,6.895490E+0
16.218082,5.747315E-1,-5.201072E+0,5.232730E+0
16.311710,3.164681E-1,-4.589391E+0,4.600289E+0
16.405879,1.117653E-1,-4.042741E+0,4.044286E+0
16.500591,-4.824535E-2,-3.555156E+0,3.555483E+0
16.595850,-1.711380E-1,-3.121070E+0,3.125758E+0
16.691659,-7.823639E-2,-2.977067E+0,2.978095E+0
16.788021,6.330210E-3,-2.837400E+0,2.837407E+0
16.884939,8.307649E-2,-2.702089E+0,2.703366E+0
16.982417,1.524927E-1,-2.571139E+0,2.575657E+0
17.080457,1.834302E-1,-2.393050E+0,2.400070E+0
17.179064,2.093900E-1,-2.226628E+0,2.236452E+0
17.278240,2.308995E-1,-2.071157E+0,2.083988E+0
17.377988,2.484395E-1,-1.925961E+0,1.941919E+0
17.478312,2.937275E-1,-1.877441E+0,1.900279E+0
17.579215,3.367509E-1,-1.828786E+0,1.859532E+0
17.680701,3.775558E-1,-1.780059E+0,1.819659E+0
17.782773,4.161879E-1,-1.731319E+0,1.780640E+0
17.885434,3.829545E-1,-1.634843E+0,1.679097E+0
17.988688,3.521459E-1,-1.543688E+0,1.583344E+0
18.092538,3.235945E-1,-1.457564E+0,1.493053E+0
18.196987,2.971439E-1,-1.376196E+0,1.407910E+0
18.302039,3.443286E-1,-1.250754E+0,1.297285E+0
18.407698,3.812693E-1,-1.132917E+0,1.195352E+0
18.513967,4.091781E-1,-1.022605E+0,1.101430E+0
18.620849,4.291658E-1,-9.196793E-1,1.014886E+0
18.728348,5.452269E-1,-9.045817E-1,1.056191E+0
18.836468,6.636764E-1,-8.761996E-1,1.099178E+0
18.945212,7.831374E-1,-8.338078E-1,1.143914E+0
19.054584,9.021040E-1,-7.768060E-1,1.190470E+0
19.164587,9.279658E-1,-8.062996E-1,1.229325E+0
19.275226,9.545358E-1,-8.368746E-1,1.269448E+0
19.386503,9.818321E-1,-8.685690E-1,1.310880E+0
19.498422,1.009874E+0,-9.014236E-1,1.353665E+0
19.610988,1.076491E+0,-9.417519E-1,1.430290E+0
19.724203,1.147301E+0,-9.836582E-1,1.511252E+0
19.838072,1.222558E+0,-1.027188E+0,1.596798E+0
19.952599,1.302530E+0,-1.072386E+0,1.687186E+0
20.067786,1.309012E+0,-1.174119E+0,1.758428E+0
20.183639,1.311274E+0,-1.280338E+0,1.832677E+0
20.300160,1.308945E+0,-1.391043E+0,1.910062E+0
20.417354,1.301637E+0,-1.506217E+0,1.990716E+0
20.535225,1.236085E+0,-1.613707E+0,2.032721E+0
20.653776,1.162793E+0,-1.719328E+0,2.075615E+0
20.773011,1.081724E+0,-1.822576E+0,2.119413E+0
20.892935,9.928702E-1,-1.922935E+0,2.164133E+0
21.013551,8.792688E-1,-1.906118E+0,2.099143E+0
21.134864,7.699119E-1,-1.884928E+0,2.036104E+0
21.256877,6.648568E-1,-1.859684E+0,1.974958E+0
21.379594,5.641447E-1,-1.830696E+0,1.915648E+0
21.503020,4.738553E-1,-1.827650E+0,1.888079E+0
21.627158,3.850920E-1,-1.820626E+0,1.860907E+0
21.752013,2.980087E-1,-1.809754E+0,1.834126E+0
21.877589,2.127510E-1,-1.795167E+0,1.807730E+0
22.003889,1.478172E-1,-1.697342E+0,1.703766E+0
22.130919,8.951367E-2,-1.603286E+0,1.605783E+0
22.258682,3.734585E-2,-1.512972E+0,1.513433E+0
22.387183,-9.151926E-3,-1.426364E+0,1.426393E+0
22.516425,-5.650773E-2,-1.348464E+0,1.349647E+0
22.646414,-9.867389E-2,-1.273212E+0,1.277030E+0
22.777153,-1.360215E-1,-1.200639E+0,1.208319E+0
22.908647,-1.689027E-1,-1.130761E+0,1.143306E+0
23.040900,-1.453508E-1,-1.063922E+0,1.073805E+0
23.173917,-1.240168E-1,-1.000874E+0,1.008528E+0
23.307701,-1.047213E-1,-9.414133E-1,9.472199E-1
23.442258,-8.729811E-2,-8.853453E-1,8.896388E-1
23.577591,-7.872067E-2,-8.138257E-1,8.176241E-1
23.713706,-7.095961E-2,-7.480811E-1,7.514390E-1
23.850607,-6.393899E-2,-6.876453E-1,6.906115E-1
23.988298,-5.758967E-2,-6.320897E-1,6.347078E-1
24.126784,-3.409212E-2,-6.084713E-1,6.094256E-1
24.266069,-1.233532E-2,-5.850202E-1,5.851502E-1
24.406159,7.756709E-3,-5.617885E-1,5.618420E-1
24.547057,2.625854E-2,-5.388228E-1,5.394623E-1
24.688769,5.279002E-2,-5.031671E-1,5.059288E-1
24.831298,7.576729E-2,-4.683914E-1,4.744799E-1
24.974651,9.546255E-2,-4.346257E-1,4.449861E-1
25.118831,1.121373E-1,-4.019770E-1,4.173252E-1
25.263844,1.326806E-1,-3.841810E-1,4.064470E-1
25.409693,1.516040E-1,-3.656710E-1,3.958523E-1
25.556385,1.689108E-1,-3.465624E-1,3.855339E-1
25.703924,1.846106E-1,-3.269672E-1,3.754845E-1
25.852314,2.070638E-1,-3.127133E-1,3.750534E-1
26.001561,2.284266E-1,-2.969235E-1,3.746228E-1
26.151669,2.485944E-1,-2.796802E-1,3.741927E-1
26.302645,2.674688E-1,-2.610734E-1,3.737631E-1
26.454491,2.814223E-1,-2.525164E-1,3.781045E-1
26.607215,2.951621E-1,-2.432752E-1,3.824964E-1
26.760820,3.086570E-1,-2.333514E-1,3.869393E-1
26.915312,3.218753E-1,-2.227484E-1,3.914340E-1
27.070695,3.369662E-1,-2.171871E-1,4.008946E-1
27.226976,3.522266E-1,-2.109871E-1,4.105839E-1
27.384159,3.676390E-1,-2.041276E-1,4.205074E-1
27.542250,3.831846E-1,-1.965878E-1,4.306706E-1
27.701253,3.921283E-1,-1.868398E-1,4.343659E-1
27.861174,4.008561E-1,-1.767475E-1,4.380928E-1
28.022018,4.093561E-1,-1.663145E-1,4.418517E-1
28.183791,4.176162E-1,-1.555448E-1,4.456428E-1
28.346497,4.306055E-1,-1.509635E-1,4.563015E-1
28.510144,4.438122E-1,-1.460162E-1,4.672152E-1
28.674734,4.572343E-1,-1.406899E-1,4.783899E-1
28.840275,4.708697E-1,-1.349716E-1,4.898322E-1
29.006772,4.820352E-1,-1.304358E-1,4.993710E-1
29.174230,4.933479E-1,-1.256426E-1,5.090955E-1
29.342654,5.048069E-1,-1.205849E-1,5.190094E-1
29.512051,5.164112E-1,-1.152553E-1,5.291165E-1
29.682426,5.233127E-1,-1.144191E-1,5.356752E-1
29.853785,5.302962E-1,-1.135424E-1,5.423153E-1
30.026132,5.373622E-1,-1.126242E-1,5.490377E-1
30.199475,5.445119E-1,-1.116636E-1,5.558435E-1
30.373818,5.543162E-1,-1.081945E-1,5.647765E-1
30.549168,5.642441E-1,-1.045752E-1,5.738531E-1
30.725531,5.742959E-1,-1.008020E-1,5.830753E-1
30.902911,5.844730E-1,-9.687133E-2,5.924464E-1
31.081315,5.906249E-1,-9.461273E-2,5.981549E-1
31.260750,5.968240E-1,-9.229888E-2,6.039188E-1
31.441220,6.030696E-1,-8.992888E-2,6.097378E-1
31.622732,6.093632E-1,-8.750205E-2,6.156136E-1
31.805292,6.149572E-1,-8.568303E-2,6.208977E-1
31.988906,6.205915E-1,-8.382486E-2,6.262271E-1
32.173580,6.262659E-1,-8.192696E-2,6.316019E-1
32.359320,6.319812E-1,-7.998885E-2,6.370231E-1
32.546132,6.361762E-1,-7.851724E-2,6.410032E-1
32.734023,6.403926E-1,-7.702334E-2,6.450080E-1
32.922998,6.446308E-1,-7.550697E-2,6.490379E-1
33.113065,6.488906E-1,-7.396789E-2,6.530928E-1
33.304228,6.539129E-1,-7.386126E-2,6.580711E-1
33.496496,6.589736E-1,-7.374863E-2,6.630875E-1
33.689873,6.640726E-1,-7.362993E-2,6.681420E-1
33.884367,6.692098E-1,-7.350500E-2,6.732345E-1
34.079983,6.723557E-1,-7.077475E-2,6.760704E-1
34.276729,6.755022E-1,-6.801875E-2,6.789181E-1
34.474611,6.786495E-1,-6.523691E-2,6.817778E-1
34.673635,6.817971E-1,-6.242909E-2,6.846493E-1
34.873808,6.844931E-1,-6.081036E-2,6.871890E-1
35.075136,6.871949E-1,-5.917832E-2,6.897383E-1
35.277627,6.899022E-1,-5.753290E-2,6.922970E-1
35.481287,6.926154E-1,-5.587403E-2,6.948655E-1
35.686123,6.971703E-1,-5.427767E-2,6.992800E-1
35.892141,7.017501E-1,-5.265833E-2,7.037230E-1
36.099348,7.063542E-1,-5.101580E-2,7.081941E-1
36.307752,7.109836E-1,-4.934993E-2,7.126943E-1
36.517359,7.144905E-1,-4.760941E-2,7.160749E-1
36.728176,7.180088E-1,-4.585093E-2,7.194713E-1
36.940210,7.215391E-1,-4.407432E-2,7.228840E-1
37.153468,7.250808E-1,-4.227947E-2,7.263124E-1
37.367957,7.282716E-1,-4.085050E-2,7.294164E-1
37.583685,7.314728E-1,-3.940830E-2,7.325336E-1
37.800658,7.346848E-1,-3.795288E-2,7.356644E-1
38.018883,7.379068E-1,-3.648407E-2,7.388082E-1
38.238368,7.405284E-1,-3.447192E-2,7.413303E-1
38.459121,7.431529E-1,-3.244533E-2,7.438608E-1
38.681148,7.457803E-1,-3.040424E-2,7.463998E-1
38.904456,7.484113E-1,-2.834861E-2,7.489480E-1
39.129054,7.509676E-1,-2.806428E-2,7.514918E-1
39.354948,7.535325E-1,-2.777768E-2,7.540443E-1
