Hz,real,imaginary,unitless (peak only)
9.999990,-2.146851E-1,5.046979E-1,5.484612E-1
10.057721,-9.296149E-1,7.712325E-1,1.207884E+0
10.115785,-2.598051E+0,5.713883E-1,2.660142E+0
10.174184,-9.482671E-1,1.572262E+0,1.836088E+0
10.232920,3.366718E-1,1.221770E+0,1.267308E+0
10.291995,5.845596E-1,1.339849E+0,1.461816E+0
10.351412,8.869384E-1,1.434061E+0,1.686176E+0
10.411171,1.109645E+0,1.162283E+0,1.606927E+0
10.471275,1.263725E+0,8.649813E-1,1.531402E+0
10.531727,1.136765E+0,1.343270E+0,1.759718E+0
10.592527,8.504301E-1,1.834545E+0,2.022075E+0
10.653678,5.239054E-1,1.957365E+0,2.026266E+0
10.715183,1.804317E-1,2.022433E+0,2.030466E+0
10.777042,5.756403E-1,1.650680E+0,1.748172E+0
10.839258,8.274933E-1,1.257244E+0,1.505127E+0
10.901834,1.385690E+0,9.446098E-1,1.677028E+0
10.964771,1.828300E+0,3.858094E-1,1.868564E+0
11.028071,1.801618E+0,6.430105E-1,1.912927E+0
11.091737,1.739154E+0,9.002560E-1,1.958346E+0
11.155770,1.840542E+0,1.102106E+0,2.145281E+0
11.220173,1.937723E+0,1.329668E+0,2.350061E+0
11.284948,2.024179E+0,1.388272E+0,2.454506E+0
11.350097,2.114493E+0,1.449461E+0,2.563595E+0
11.415622,1.798191E+0,7.954865E-1,1.966288E+0
11.481525,1.467719E+0,3.468792E-1,1.508153E+0
11.547808,1.436920E+0,5.936986E-1,1.554740E+0
11.614474,1.365104E+0,8.398529E-1,1.602767E+0
11.681525,1.639000E+0,5.275911E-1,1.721823E+0
11.748964,1.845021E+0,1.317836E-1,1.849721E+0
11.816791,1.656826E+0,2.561049E-1,1.676503E+0
11.885010,1.477594E+0,3.544242E-1,1.519507E+0
11.953623,1.534950E+0,3.936505E-1,1.584624E+0
12.022632,1.594118E+0,4.354879E-1,1.652532E+0
12.092039,1.592709E+0,2.209881E-1,1.607967E+0
12.161847,1.564539E+0,1.417805E-2,1.564603E+0
12.232059,1.687545E+0,4.899178E-2,1.688256E+0
12.302675,1.819495E+0,8.919860E-2,1.821680E+0
12.373699,1.776461E+0,2.086624E-1,1.788674E+0
12.445133,1.726340E+0,3.228223E-1,1.756264E+0
12.516980,1.697877E+0,4.981194E-1,1.769438E+0
12.589241,1.651625E+0,6.709624E-1,1.782710E+0
12.661919,1.543237E+0,3.527365E-1,1.583036E+0
12.735017,1.402891E+0,8.926068E-2,1.405728E+0
12.808537,1.425691E+0,1.006241E-1,1.429238E+0
12.882482,1.448792E+0,1.123378E-1,1.453141E+0
