Hz,real,imaginary,unitless (peak only)
9.999990,-5.736412E-1,5.078750E-1,7.661601E-1
10.057721,2.294927E-1,6.619843E-1,7.006355E-1
10.115785,6.396652E-1,3.665870E-2,6.407148E-1
10.174184,3.541396E-1,1.104727E+0,1.160102E+0
10.232920,-1.636365E+0,1.317005E+0,2.100522E+0
10.291995,-4.720665E-1,1.751806E+0,1.814296E+0
10.351412,5.618097E-1,1.462905E+0,1.567074E+0
10.411171,7.342895E-1,1.286687E+0,1.481467E+0
10.471275,8.702587E-1,1.097339E+0,1.400537E+0
10.531727,1.656433E+0,1.540533E+0,2.262081E+0
10.592527,3.019527E+0,2.057014E+0,3.653608E+0
10.653678,2.237481E+0,1.389957E+0,2.634066E+0
10.715183,1.653901E+0,9.332274E-1,1.899027E+0
10.777042,1.311917E+0,1.025910E+0,1.665418E+0
10.839258,1.003226E+0,1.061478E+0,1.460547E+0
10.901834,7.228261E-1,1.423009E+0,1.596068E+0
10.964771,3.170477E-1,1.715104E+0,1.744162E+0
11.028071,8.366374E-1,2.459627E+0,2.598024E+0
11.091737,1.762791E+0,3.445091E+0,3.869895E+0
11.155770,2.559415E+0,2.850212E+0,3.830707E+0
11.220173,3.171055E+0,2.079191E+0,3.791916E+0
11.284948,2.417969E+0,1.969511E+0,3.118581E+0
11.350097,1.811194E+0,1.815993E+0,2.564811E+0
11.415622,6.557313E-1,2.511584E+0,2.595773E+0
11.481525,-7.091111E-1,2.529598E+0,2.627110E+0
11.547808,1.288598E+0,1.996030E+0,2.375841E+0
11.614474,2.124168E+0,3.231253E-1,2.148604E+0
11.681525,2.444540E+0,7.998100E-1,2.572056E+0
11.748964,2.728964E+0,1.425753E+0,3.078963E+0
11.816791,2.398786E+0,1.261674E+0,2.710350E+0
11.885010,2.108536E+0,1.116438E+0,2.385866E+0
11.953623,2.055773E+0,9.127971E-1,2.249311E+0
12.022632,1.992896E+0,7.247041E-1,2.120573E+0
12.092039,2.369776E+0,1.069609E+0,2.599981E+0
12.161847,2.798782E+0,1.526008E+0,3.187771E+0
12.232059,2.691633E+0,1.302975E+0,2.990423E+0
12.302675,2.581124E+0,1.098852E+0,2.805294E+0
12.373699,2.362792E+0,8.404437E-1,2.507814E+0
12.445133,2.153948E+0,6.217121E-1,2.241878E+0
12.516980,2.152379E+0,6.423627E-1,2.246189E+0
12.589241,2.150621E+0,6.630379E-1,2.250509E+0
12.661919,2.286006E+0,5.045403E-1,2.341022E+0
12.735017,2.412888E+0,3.287088E-1,2.435175E+0
12.808537,2.333503E+0,4.326980E-1,2.373281E+0
12.882482,2.251367E+0,5.302192E-1,2.312960E+0
12.956853,2.130743E+0,3.483029E-1,2.159023E+0
13.031654,2.006666E+0,1.866936E-1,2.015332E+0
13.106887,2.106154E+0,3.673034E-1,2.137942E+0
13.182553,2.196069E+0,5.667127E-1,2.268013E+0
13.258657,2.243662E+0,4.569263E-1,2.289716E+0
13.335200,2.285926E+0,3.437566E-1,2.311628E+0
13.412185,2.491621E+0,2.230629E-1,2.501586E+0
13.489614,2.705991E+0,7.934411E-2,2.707154E+0
13.567491,2.618950E+0,6.260185E-2,2.619698E+0
13.645817,2.534636E+0,4.685677E-2,2.535069E+0
13.724595,2.311364E+0,-8.871125E-2,2.313066E+0
13.803828,2.100946E+0,-2.006330E-1,2.110504E+0
13.883518,2.284600E+0,-4.211765E-1,2.323099E+0
13.963668,2.464869E+0,-6.806008E-1,2.557107E+0
14.044282,2.322702E+0,-6.642789E-1,2.415825E+0
14.125360,2.188537E+0,-6.476306E-1,2.282350E+0
14.206907,1.931331E+0,-7.756568E-1,2.081270E+0
14.288924,1.686844E+0,-8.698262E-1,1.897904E+0
14.371415,1.632330E+0,-7.989828E-1,1.817381E+0
14.454382,1.578724E+0,-7.322518E-1,1.740276E+0
14.537828,1.447085E+0,-7.214497E-1,1.616955E+0
14.621756,1.325105E+0,-7.079674E-1,1.502372E+0
14.706168,1.262763E+0,-6.333221E-1,1.412681E+0
14.791067,1.202350E+0,-5.646702E-1,1.328344E+0
14.876457,1.157256E+0,-5.078467E-1,1.263784E+0
