Hz,real,imaginary,V^2 (rms) 
9.99999046326,0.1421508,0.1338799,43.3056743237
10.0577210151,0.157656,0.1452223,42.6708572657
10.1157848488,0.1748127,0.1574835,42.0360479458
10.1741838887,0.1937934,0.1707333,41.4012589347
10.2329200697,0.2147883,0.1850457,40.7664198301
10.2919953382,0.2092126,0.1687183,38.9039637487
10.3514116519,0.2034268,0.1534195,37.0414805878
10.4111709795,0.1974736,0.139102,35.1790100654
10.4712753014,0.1913919,0.1257192,33.3165178766
10.5317266092,0.1959539,0.1288548,33.3449088418
10.592526906,0.2006246,0.1320685,33.3732960046
10.6536782067,0.2054066,0.1353622,33.4016696269
10.7151825375,0.2103027,0.138738,33.4300323777
10.7770419365,0.2071064,0.1284126,31.8163676412
10.8392584537,0.2037349,0.1185167,30.202738693
10.9018341505,0.2002058,0.1090407,28.5891075142
10.9647711006,0.1965356,0.09997483,26.9754605435
11.0280713896,0.2005937,0.1011187,26.7661091915
11.091737115,0.2047321,0.1022689,26.5567596824
11.1557703865,0.2089525,0.1034253,26.3474042615
11.2201733259,0.2132563,0.1045879,26.1381013499
11.2849480674,0.2125419,0.1005787,25.3372105524
11.3500967575,0.2117793,0.09661998,24.5363131043
11.4156215548,0.2109698,0.09271197,23.7354145633
11.4815246308,0.2101145,0.08885469,22.9344967665
11.5478081693,0.2169663,0.08838381,22.1753528443
11.6144743666,0.2239957,0.0878071,21.4162107188
11.681525432,0.2312061,0.08711933,20.6570704948
11.7489635872,0.2386009,0.08631502,19.8979210383
11.816791067,0.2383138,0.08149631,18.88875496
11.8850101189,0.2379448,0.07671894,17.8795932238
11.9536230036,0.237495,0.07198389,16.8704221731
12.0226319946,0.2369659,0.06729235,15.8612526419
12.0920393787,0.227633,0.0627775,15.4258155825
12.1618474559,0.2186542,0.05851776,14.9903725757
12.2320585393,0.2100165,0.05449998,14.5549362223
12.3026749556,0.2017077,0.05071164,14.1194931154
12.3736990447,0.2046293,0.04663331,12.8444934061
12.4451331602,0.207485,0.04245334,11.5695017035
12.5169796691,0.2102723,0.03817234,10.2945058432
12.5892409524,0.2129881,0.03379091,9.01950629578
12.6619194044,0.2162287,0.03955512,10.371860043
12.7350174335,0.2193924,0.04550698,11.7242224594
12.808537462,0.2224732,0.05164813,13.0765741465
12.8824819261,0.2254649,0.05798023,14.4289321192
12.956853276,0.2276723,0.05751916,14.185716639
13.0316539763,0.229897,0.05704466,13.9425013783
13.1068865055,0.2321389,0.05655653,13.6992953199
13.1825533567,0.2343981,0.05605451,13.4560819037
13.2586570372,0.2378043,0.05068997,12.0390882127
13.3352000689,0.2411058,0.04519457,10.6221092107
13.4121849882,0.2442987,0.03956974,9.20512015098
13.489614346,0.2473786,0.03381709,7.78813279777
13.5674907083,0.2604443,0.04066775,8.87943278217
13.6458166555,0.2740983,0.04816165,9.97073376884
13.7245947832,0.2883603,0.05634633,11.0620333009
13.8038277017,0.3032505,0.06527247,12.1533344822
13.8835180367,0.3247389,0.064384,11.2199431302
13.9636684289,0.3476542,0.06306244,10.2865420699
14.0442815341,0.3720844,0.06125406,9.35315889716
14.1253600237,0.398123,0.05889975,8.41976911864
14.2069065844,0.3974074,0.05618627,8.05134031736
14.2889239182,0.3966761,0.05348483,7.68291716876
14.3714147431,0.3959298,0.05079552,7.31449180595
14.4543817926,0.3951684,0.04811838,6.94606533237
14.5378278159,0.4149205,0.03682647,5.07459678551
14.6217555781,0.4351919,0.02434246,3.20312732448
14.7061678604,0.4559661,0.010594,1.33165627778
14.7910674599,0.4772226,-0.004494022,-0.539814083991
14.8764571899,0.4829733,-0.005923464,-0.703029766867
14.9623398801,0.4887893,-0.007386741,-0.866245476996
15.0487183762,0.4946713,-0.00888445,-1.02946124034
15.1355955406,0.5006202,-0.01041721,-1.19267807491
15.2229742522,0.5193974,-0.02888963,-3.18520801118
15.3108574064,0.538226,-0.0487467,-5.17773870626
15.3992479154,0.5570577,-0.07004322,-7.17027110502
15.4881487081,0.575841,-0.0928344,-9.16280463984
15.5775627305,0.5790926,-0.09909026,-9.7149368049
15.6674929455,0.5823065,-0.1054228,-10.2670792919
15.757942333,0.5854822,-0.1118321,-10.8192133436
15.8489138904,0.5886189,-0.1183185,-11.3713495642
15.9404106321,0.6055273,-0.1210261,-11.3084448587
16.03243559,0.6229206,-0.1237918,-11.2455423251
16.1249918136,0.6408127,-0.1266167,-11.1826408444
16.2180823699,0.6592184,-0.129502,-11.1197381837
16.3117103437,0.6773766,-0.1400173,-11.6847816558
16.4058788374,0.6959644,-0.1510275,-12.2498273554
16.5005909715,0.7149895,-0.1625516,-12.8148763133
16.5958498845,0.73446,-0.1746092,-13.3799200569
16.6916587331,0.7426606,-0.189494,-14.3211818728
16.7880206919,0.7507375,-0.2047407,-15.2624376429
16.8849389541,0.7586823,-0.2203528,-16.203702809
16.9824167314,0.7664865,-0.2363333,-17.1449637097
17.0804572538,0.7827905,-0.2413253,-17.142618694
17.17906377,0.7994417,-0.2464228,-17.1402695918
17.2782395477,0.8164471,-0.2516279,-17.1379159661
17.3779878732,0.833814,-0.2569429,-17.1355642588
17.4783120518,0.8559054,-0.2648373,-17.2020203197
17.5792154079,0.8785804,-0.27297,-17.2684807903
17.6807012853,0.9018549,-0.2813482,-17.3349423638
17.7827730468,0.9257449,-0.2899792,-17.40140117
17.8854340747,0.9509283,-0.2901377,-16.9760761444
17.988687771,0.9767378,-0.2901087,-16.5507573381
18.0925375572,1.003187,-0.2898828,-16.1254529398
18.1969868745,1.030293,-0.2894502,-15.70011983
